point,cell,grid,lat,lon
846050,1397,quarter,56.875,12.625
844619,1397,quarter,56.625,14.875
897934,1471,quarter,65.875,23.625
896477,1435,quarter,65.625,19.375
892141,1434,quarter,64.875,15.375
892156,1434,quarter,64.875,19.125
889266,1434,quarter,64.375,16.625
887840,1470,quarter,64.125,20.125
887820,1434,quarter,64.125,15.125
887826,1434,quarter,64.125,16.625
886380,1434,quarter,63.875,15.125
884949,1434,quarter,63.625,17.375
884952,1434,quarter,63.625,18.125
882070,1434,quarter,63.125,17.625
880624,1434,quarter,62.875,16.125
873425,1434,quarter,61.625,16.375
873426,1434,quarter,61.625,16.625
867665,1434,quarter,60.625,16.375
908003,1471,quarter,67.625,20.875
906568,1471,quarter,67.375,22.125
903672,1435,quarter,66.875,18.125
899363,1471,quarter,66.125,20.875
866228,1434,quarter,60.375,17.125
860467,1433,quarter,59.375,16.875
859032,1433,quarter,59.125,18.125
857568,1397,quarter,58.875,12.125
854689,1397,quarter,58.375,12.375
847496,1397,quarter,57.125,14.125
843182,1433,quarter,56.375,15.625
897929,1471,quarter,65.875,22.375
892164,1470,quarter,64.875,21.125
870540,1434,quarter,61.125,15.125
883497,1398,quarter,63.375,14.375
880626,1434,quarter,62.875,16.625
873417,1398,quarter,61.625,14.375
871982,1434,quarter,61.375,15.625
909453,1471,quarter,67.875,23.375
900792,1435,quarter,66.375,18.125
866223,1434,quarter,60.375,15.875
864774,1398,quarter,60.125,13.625
861890,1397,quarter,59.625,12.625
844620,1433,quarter,56.625,15.125
897919,1435,quarter,65.875,19.875
897922,1471,quarter,65.875,20.625
870547,1434,quarter,61.125,16.875
886376,1398,quarter,63.875,14.125
884959,1434,quarter,63.625,19.875
882049,1398,quarter,63.125,12.375
882055,1398,quarter,63.125,13.875
882057,1398,quarter,63.125,14.375
877733,1398,quarter,62.375,13.375
913762,1471,quarter,68.625,20.625
900805,1471,quarter,66.375,21.375
859009,1397,quarter,59.125,12.375
859019,1397,quarter,59.125,14.875
857575,1397,quarter,58.875,13.875
848932,1397,quarter,57.375,13.125
896476,1435,quarter,65.625,19.125
896480,1471,quarter,65.625,20.125
895023,1435,quarter,65.375,15.875
892161,1470,quarter,64.875,20.375
889264,1434,quarter,64.375,16.125
889267,1434,quarter,64.375,16.875
889271,1434,quarter,64.375,17.875
886372,1398,quarter,63.875,13.125
886374,1398,quarter,63.875,13.625
882062,1434,quarter,63.125,15.625
879177,1398,quarter,62.625,14.375
867653,1398,quarter,60.625,13.375
867657,1398,quarter,60.625,14.375
908004,1471,quarter,67.625,21.125
906567,1471,quarter,67.375,21.875
903681,1471,quarter,66.875,20.375
903682,1471,quarter,66.875,20.625
900809,1471,quarter,66.375,22.375
900812,1471,quarter,66.375,23.125
899346,1435,quarter,66.125,16.625
899348,1435,quarter,66.125,17.125
866225,1434,quarter,60.375,16.375
866212,1398,quarter,60.375,13.125
860456,1397,quarter,59.375,14.125
859028,1433,quarter,59.125,17.125
847499,1397,quarter,57.125,14.875
843172,1397,quarter,56.375,13.125
897900,1435,quarter,65.875,15.125
897908,1435,quarter,65.875,17.125
896472,1435,quarter,65.625,18.125
892159,1434,quarter,64.875,19.875
870546,1434,quarter,61.125,16.625
887822,1434,quarter,64.125,15.625
886400,1470,quarter,63.875,20.125
883514,1434,quarter,63.375,18.625
873422,1434,quarter,61.625,15.625
908012,1471,quarter,67.625,23.125
906554,1435,quarter,67.375,18.625
903665,1435,quarter,66.875,16.375
902224,1435,quarter,66.625,16.125
900802,1471,quarter,66.375,20.625
864780,1434,quarter,60.125,15.125
863345,1433,quarter,59.875,16.375
857583,1433,quarter,58.875,15.875
854703,1433,quarter,58.375,15.875
850383,1433,quarter,57.625,15.875
897910,1435,quarter,65.875,17.625
893580,1435,quarter,65.125,15.125
887830,1434,quarter,64.125,17.625
886393,1434,quarter,63.875,18.375
886397,1434,quarter,63.875,19.375
880614,1398,quarter,62.875,13.625
879187,1434,quarter,62.625,16.875
874854,1398,quarter,61.875,13.625
909448,1471,quarter,67.875,22.125
906557,1435,quarter,67.375,19.375
903688,1471,quarter,66.875,22.125
902235,1435,quarter,66.625,18.875
899338,1399,quarter,66.125,14.625
899343,1435,quarter,66.125,15.875
854704,1433,quarter,58.375,16.125
853260,1433,quarter,58.125,15.125
850374,1397,quarter,57.625,13.625
847491,1397,quarter,57.125,12.875
846056,1397,quarter,56.875,14.125
844622,1433,quarter,56.625,15.625
843175,1397,quarter,56.375,13.875
838856,1397,quarter,55.625,14.125
870535,1398,quarter,61.125,13.875
870543,1434,quarter,61.125,15.875
887835,1434,quarter,64.125,18.875
887823,1434,quarter,64.125,15.875
882063,1434,quarter,63.125,15.875
874867,1434,quarter,61.875,16.875
874868,1434,quarter,61.875,17.125
908013,1471,quarter,67.625,23.375
903684,1471,quarter,66.875,21.125
909442,1471,quarter,67.875,20.625
909431,1435,quarter,67.875,17.875
907990,1435,quarter,67.625,17.625
903686,1471,quarter,66.875,21.625
902236,1435,quarter,66.625,19.125
900783,1435,quarter,66.375,15.875
900804,1471,quarter,66.375,21.125
899373,1471,quarter,66.125,23.375
866227,1434,quarter,60.375,16.875
863328,1397,quarter,59.875,12.125
859012,1397,quarter,59.125,13.125
857586,1433,quarter,58.875,16.625
856129,1397,quarter,58.625,12.375
851817,1397,quarter,57.875,14.375
848928,1397,quarter,57.375,12.125
897905,1435,quarter,65.875,16.375
896469,1435,quarter,65.625,17.375
896484,1471,quarter,65.625,21.125
896488,1471,quarter,65.625,22.125
876303,1434,quarter,62.125,15.875
887827,1434,quarter,64.125,16.875
886401,1470,quarter,63.875,20.375
886373,1398,quarter,63.875,13.375
882058,1398,quarter,63.125,14.625
880612,1398,quarter,62.875,13.125
910879,1435,quarter,68.125,19.875
910890,1471,quarter,68.125,22.625
908009,1471,quarter,67.625,22.375
906559,1435,quarter,67.375,19.875
903673,1435,quarter,66.875,18.375
900786,1435,quarter,66.375,16.625
866214,1398,quarter,60.375,13.625
859026,1433,quarter,59.125,16.625
854698,1397,quarter,58.375,14.625
851835,1433,quarter,57.875,18.875
850384,1433,quarter,57.625,16.125
846062,1433,quarter,56.875,15.625
846065,1433,quarter,56.875,16.375
895032,1435,quarter,65.375,18.125
893589,1435,quarter,65.125,17.375
886371,1398,quarter,63.875,12.875
880620,1434,quarter,62.875,15.125
880627,1434,quarter,62.875,16.875
880615,1398,quarter,62.875,13.875
879173,1398,quarter,62.625,13.375
874866,1434,quarter,61.875,16.625
871974,1398,quarter,61.375,13.625
912328,1471,quarter,68.375,22.125
910880,1471,quarter,68.125,20.125
906562,1471,quarter,67.375,20.625
903674,1435,quarter,66.875,18.625
899370,1471,quarter,66.125,22.625
899371,1471,quarter,66.125,22.875
899372,1471,quarter,66.125,23.125
864782,1434,quarter,60.125,15.625
860448,1397,quarter,59.375,12.125
857577,1397,quarter,58.875,14.375
850376,1397,quarter,57.625,14.125
838854,1397,quarter,55.625,13.625
897899,1399,quarter,65.875,14.875
912313,1435,quarter,68.375,18.375
908010,1471,quarter,67.625,22.625
899351,1435,quarter,66.125,17.875
899354,1435,quarter,66.125,18.625
899358,1435,quarter,66.125,19.625
864771,1398,quarter,60.125,12.875
864791,1434,quarter,60.125,17.875
864793,1434,quarter,60.125,18.375
863341,1433,quarter,59.875,15.375
863351,1433,quarter,59.875,17.875
854695,1397,quarter,58.375,13.875
853247,1397,quarter,58.125,11.875
853262,1433,quarter,58.125,15.625
850378,1397,quarter,57.625,14.625
848943,1433,quarter,57.375,15.875
837412,1397,quarter,55.375,13.125
897930,1471,quarter,65.875,22.625
895042,1471,quarter,65.375,20.625
889258,1398,quarter,64.375,14.625
886395,1434,quarter,63.875,18.875
883511,1434,quarter,63.375,17.875
877745,1434,quarter,62.375,16.375
909439,1435,quarter,67.875,19.875
906564,1471,quarter,67.375,21.125
905129,1471,quarter,67.125,22.375
903678,1435,quarter,66.875,19.625
902238,1435,quarter,66.625,19.625
864775,1398,quarter,60.125,13.875
854699,1397,quarter,58.375,14.875
851819,1397,quarter,57.875,14.875
848938,1397,quarter,57.375,14.625
847504,1433,quarter,57.125,16.125
869103,1434,quarter,60.875,15.875
870541,1434,quarter,61.125,15.375
880616,1398,quarter,62.875,14.125
877729,1398,quarter,62.375,12.375
908001,1471,quarter,67.625,20.375
905130,1471,quarter,67.125,22.625
902244,1471,quarter,66.625,21.125
900794,1435,quarter,66.375,18.625
860449,1397,quarter,59.375,12.375
857570,1397,quarter,58.875,12.625
857573,1397,quarter,58.875,13.375
854687,1397,quarter,58.375,11.875
848945,1433,quarter,57.375,16.375
847500,1433,quarter,57.125,15.125
844612,1397,quarter,56.625,13.125
843176,1397,quarter,56.375,14.125
840293,1397,quarter,55.875,13.375
897917,1435,quarter,65.875,19.375
895037,1435,quarter,65.375,19.375
890714,1434,quarter,64.625,18.625
870548,1434,quarter,61.125,17.125
886390,1434,quarter,63.875,17.625
883502,1434,quarter,63.375,15.625
882068,1434,quarter,63.125,17.125
873412,1398,quarter,61.625,13.125
873427,1434,quarter,61.625,16.875
871987,1434,quarter,61.375,16.875
913764,1471,quarter,68.625,21.125
912330,1471,quarter,68.375,22.625
906556,1435,quarter,67.375,19.125
903687,1471,quarter,66.875,21.875
903691,1471,quarter,66.875,22.875
864794,1434,quarter,60.125,18.625
863336,1397,quarter,59.875,14.125
863354,1433,quarter,59.875,18.625
861892,1397,quarter,59.625,13.125
861897,1397,quarter,59.625,14.375
861903,1433,quarter,59.625,15.875
859017,1397,quarter,59.125,14.375
856132,1397,quarter,58.625,13.125
854685,1397,quarter,58.375,11.375
854690,1397,quarter,58.375,12.625
848931,1397,quarter,57.375,12.875
896479,1435,quarter,65.625,19.875
895035,1435,quarter,65.375,18.875
889273,1434,quarter,64.375,18.375
869106,1434,quarter,60.875,16.625
887837,1434,quarter,64.125,19.375
877730,1398,quarter,62.375,12.625
877732,1398,quarter,62.375,13.125
867655,1398,quarter,60.625,13.875
913763,1471,quarter,68.625,20.875
907987,1435,quarter,67.625,16.875
906571,1471,quarter,67.375,22.875
899359,1435,quarter,66.125,19.875
861888,1397,quarter,59.625,12.125
861912,1433,quarter,59.625,18.125
853261,1433,quarter,58.125,15.375
841734,1397,quarter,56.125,13.625
841736,1397,quarter,56.125,14.125
895036,1435,quarter,65.375,19.125
893598,1435,quarter,65.125,19.625
890702,1434,quarter,64.625,15.625
890719,1434,quarter,64.625,19.875
886396,1434,quarter,63.875,19.125
884940,1434,quarter,63.625,15.125
884943,1434,quarter,63.625,15.875
882048,1398,quarter,63.125,12.125
882051,1398,quarter,63.125,12.875
877746,1434,quarter,62.375,16.625
874849,1398,quarter,61.875,12.375
867660,1434,quarter,60.625,15.125
909429,1435,quarter,67.875,17.375
907993,1435,quarter,67.625,18.375
906558,1435,quarter,67.375,19.625
906565,1471,quarter,67.375,21.375
905131,1471,quarter,67.125,22.875
902225,1435,quarter,66.625,16.375
863331,1397,quarter,59.875,12.875
897925,1471,quarter,65.875,21.375
895018,1399,quarter,65.375,14.625
893584,1435,quarter,65.125,16.125
893600,1471,quarter,65.125,20.125
883491,1398,quarter,63.375,12.875
882052,1398,quarter,63.125,13.125
879170,1398,quarter,62.625,12.625
873418,1398,quarter,61.625,14.625
909428,1435,quarter,67.875,17.125
909433,1435,quarter,67.875,18.375
899368,1471,quarter,66.125,22.125
863342,1433,quarter,59.875,15.625
844617,1397,quarter,56.625,14.375
843173,1397,quarter,56.375,13.375
895028,1435,quarter,65.375,17.125
893597,1435,quarter,65.125,19.375
892147,1434,quarter,64.875,16.875
890722,1470,quarter,64.625,20.625
890724,1470,quarter,64.625,21.125
886394,1434,quarter,63.875,18.625
883512,1434,quarter,63.375,18.125
879179,1398,quarter,62.625,14.875
871973,1398,quarter,61.375,13.375
871981,1434,quarter,61.375,15.375
909430,1435,quarter,67.875,17.625
905125,1471,quarter,67.125,21.375
902246,1471,quarter,66.625,21.625
899355,1435,quarter,66.125,18.875
864792,1434,quarter,60.125,18.125
854692,1397,quarter,58.375,13.125
854705,1433,quarter,58.375,16.375
896460,1435,quarter,65.625,15.125
896464,1435,quarter,65.625,16.125
890695,1398,quarter,64.625,13.875
890717,1434,quarter,64.625,19.375
889262,1434,quarter,64.375,15.625
876298,1398,quarter,62.125,14.625
886379,1398,quarter,63.875,14.875
886381,1434,quarter,63.875,15.375
884954,1434,quarter,63.625,18.625
883500,1434,quarter,63.375,15.125
883504,1434,quarter,63.375,16.125
882073,1434,quarter,63.125,18.375
874855,1398,quarter,61.875,13.875
910883,1471,quarter,68.125,20.875
906574,1471,quarter,67.375,23.625
906547,1435,quarter,67.375,16.875
905120,1471,quarter,67.125,20.125
902255,1471,quarter,66.625,23.875
864770,1398,quarter,60.125,12.625
864779,1398,quarter,60.125,14.875
857576,1397,quarter,58.875,14.125
857578,1397,quarter,58.875,14.625
854696,1397,quarter,58.375,14.125
853263,1433,quarter,58.125,15.875
848939,1397,quarter,57.375,14.875
844614,1397,quarter,56.625,13.625
893595,1435,quarter,65.125,18.875
889275,1434,quarter,64.375,18.875
889278,1434,quarter,64.375,19.625
870537,1398,quarter,61.125,14.375
876293,1398,quarter,62.125,13.375
887842,1470,quarter,64.125,20.625
883494,1398,quarter,63.375,13.625
880625,1434,quarter,62.875,16.375
877742,1434,quarter,62.375,15.625
907998,1435,quarter,67.625,19.625
906545,1435,quarter,67.375,16.375
906553,1435,quarter,67.375,18.375
905112,1435,quarter,67.125,18.125
902234,1435,quarter,66.625,18.625
900811,1471,quarter,66.375,22.875
864787,1434,quarter,60.125,16.875
859030,1433,quarter,59.125,17.625
857585,1433,quarter,58.875,16.375
856140,1433,quarter,58.625,15.125
854706,1433,quarter,58.375,16.625
853264,1433,quarter,58.125,16.125
851813,1397,quarter,57.875,13.375
848953,1433,quarter,57.375,18.375
848929,1397,quarter,57.375,12.375
848936,1397,quarter,57.375,14.125
847490,1397,quarter,57.125,12.625
895020,1435,quarter,65.375,15.125
890715,1434,quarter,64.625,18.875
889279,1434,quarter,64.375,19.875
870539,1398,quarter,61.125,14.875
887836,1434,quarter,64.125,19.125
883501,1434,quarter,63.375,15.375
907995,1435,quarter,67.625,18.875
906551,1435,quarter,67.375,17.875
905115,1435,quarter,67.125,18.875
899352,1435,quarter,66.125,18.125
866219,1398,quarter,60.375,14.875
856126,1397,quarter,58.625,11.625
853251,1397,quarter,58.125,12.875
850367,1397,quarter,57.625,11.875
850370,1397,quarter,57.625,12.625
850373,1397,quarter,57.625,13.375
850380,1433,quarter,57.625,15.125
844621,1433,quarter,56.625,15.375
843181,1433,quarter,56.375,15.375
892160,1470,quarter,64.875,20.125
890697,1398,quarter,64.625,14.375
869101,1434,quarter,60.875,15.375
869108,1434,quarter,60.875,17.125
870538,1398,quarter,61.125,14.625
876292,1398,quarter,62.125,13.125
884953,1434,quarter,63.625,18.375
913765,1471,quarter,68.625,21.375
912325,1471,quarter,68.375,21.375
902237,1435,quarter,66.625,19.375
866232,1434,quarter,60.375,18.125
864785,1434,quarter,60.125,16.375
863330,1397,quarter,59.875,12.625
863347,1433,quarter,59.875,16.875
860452,1397,quarter,59.375,13.125
860453,1397,quarter,59.375,13.375
859023,1433,quarter,59.125,15.875
851811,1397,quarter,57.875,12.875
848942,1433,quarter,57.375,15.625
847494,1397,quarter,57.125,13.625
896468,1435,quarter,65.625,17.125
895039,1435,quarter,65.375,19.875
893577,1399,quarter,65.125,14.375
893588,1435,quarter,65.125,17.125
892142,1434,quarter,64.875,15.625
890700,1434,quarter,64.625,15.125
890705,1434,quarter,64.625,16.375
869095,1398,quarter,60.875,13.875
876299,1398,quarter,62.125,14.875
886402,1470,quarter,63.875,20.625
882056,1398,quarter,63.125,14.125
