point,cell,grid,lat,lon
909462,1507,quarter,67.875,25.625
903703,1507,quarter,66.875,25.875
902270,1507,quarter,66.625,27.625
900815,1471,quarter,66.375,23.875
900821,1507,quarter,66.375,25.375
900823,1507,quarter,66.375,25.875
866263,1506,quarter,60.375,25.875
895073,1507,quarter,65.375,28.375
886413,1470,quarter,63.875,23.375
886437,1506,quarter,63.875,29.375
884988,1506,quarter,63.625,27.125
882122,1542,quarter,63.125,30.625
882092,1470,quarter,63.125,23.125
879227,1506,quarter,62.625,26.875
876325,1470,quarter,62.125,21.375
876343,1506,quarter,62.125,25.875
874889,1470,quarter,61.875,22.375
874902,1506,quarter,61.875,25.625
916664,1507,quarter,69.125,26.125
910894,1471,quarter,68.125,23.625
905148,1507,quarter,67.125,27.125
902257,1471,quarter,66.625,24.375
900830,1507,quarter,66.375,27.625
899378,1471,quarter,66.125,24.625
897955,1507,quarter,65.875,28.875
893632,1507,quarter,65.125,28.125
892195,1506,quarter,64.875,28.875
889304,1506,quarter,64.375,26.125
887873,1506,quarter,64.125,28.375
886415,1470,quarter,63.875,23.875
886430,1506,quarter,63.875,27.625
886439,1506,quarter,63.875,29.875
884996,1506,quarter,63.625,29.125
883535,1470,quarter,63.375,23.875
880652,1470,quarter,62.875,23.125
879207,1470,quarter,62.625,21.875
879243,1542,quarter,62.625,30.875
877769,1470,quarter,62.375,22.375
876344,1506,quarter,62.125,26.125
874890,1470,quarter,61.875,22.625
874894,1470,quarter,61.875,23.625
919546,1507,quarter,69.625,26.625
919551,1507,quarter,69.625,27.875
915208,1471,quarter,68.875,22.125
910906,1507,quarter,68.125,26.625
908031,1507,quarter,67.625,27.875
903712,1507,quarter,66.875,28.125
883533,1470,quarter,63.375,23.375
880654,1470,quarter,62.875,23.625
880664,1506,quarter,62.875,26.125
880685,1542,quarter,62.875,31.375
879204,1470,quarter,62.625,21.125
879205,1470,quarter,62.625,21.375
867692,1470,quarter,60.625,23.125
920992,1507,quarter,69.875,28.125
899393,1507,quarter,66.125,28.375
895066,1507,quarter,65.375,26.625
890748,1506,quarter,64.625,27.125
889305,1506,quarter,64.375,26.375
886433,1506,quarter,63.875,28.375
884986,1506,quarter,63.625,26.625
882114,1506,quarter,63.125,28.625
882123,1542,quarter,63.125,30.875
877772,1470,quarter,62.375,23.125
876358,1506,quarter,62.125,29.625
869139,1470,quarter,60.875,24.875
908039,1507,quarter,67.625,29.875
866247,1470,quarter,60.375,21.875
863372,1469,quarter,59.875,23.125
896516,1507,quarter,65.625,29.125
895077,1507,quarter,65.375,29.375
890759,1506,quarter,64.625,29.875
886423,1506,quarter,63.875,25.875
884975,1470,quarter,63.625,23.875
879213,1470,quarter,62.625,23.375
879236,1506,quarter,62.625,29.125
877784,1506,quarter,62.375,26.125
877801,1542,quarter,62.375,30.375
867697,1470,quarter,60.625,24.375
919550,1507,quarter,69.625,27.625
916647,1471,quarter,69.125,21.875
