date_time,soil moisture,ssm
2015-05-17,0.147,84.5
2015-05-24,0.142,50.5
2015-05-31,0.164,99.5
2015-06-05,0.16,58.0
2015-06-10,0.146,55.0
2015-06-12,0.142,44.0
2015-06-24,0.142,72.0
2015-06-29,0.128,59.5
2015-07-04,0.11,68.0
2015-07-06,0.104,97.0
2015-07-11,0.118,82.5
2015-07-16,0.086,90.5
2015-07-18,0.081,80.5
2015-07-23,0.103,90.0
2015-08-09,0.112,99.5
2015-08-16,0.164,95.5
2015-08-21,0.187,88.5
2015-08-23,0.133,96.0
2015-08-28,0.191,99.0
2015-09-09,0.151,85.5
2016-05-18,0.076,11.5
2016-05-25,0.132,86.0
2016-05-30,0.081,75.0
2016-06-04,0.074,23.5
2016-06-06,0.066,39.5
2016-06-11,0.054,2.5
2016-06-28,0.13,47.0
2016-06-30,0.123,50.5
2016-07-05,0.127,44.0
2016-07-17,0.133,40.0
2016-07-22,0.09,56.5
2016-07-24,0.09,56.5
2016-07-29,0.07,46.0
2016-10-08,0.152,35.0
2016-10-09,0.151,40.0
2016-10-10,0.154,65.5
2016-10-14,0.154,35.0
2016-10-15,0.151,73.0
2016-10-16,0.157,47.5
2016-10-20,0.174,52.5
2016-10-21,0.168,66.5
2016-10-22,0.171,61.5
2016-10-27,0.168,70.0
2016-10-28,0.165,60.5
2016-11-01,0.159,48.0
2016-11-07,0.176,33.5
2016-11-08,0.166,18.5
2016-11-19,0.194,79.5
2016-11-20,0.195,78.0
2016-11-21,0.199,72.5
2016-11-26,0.165,71.0
2016-12-01,0.188,77.0
2016-12-02,0.178,47.0
2016-12-07,0.173,83.0
2016-12-08,0.179,69.0
2016-12-13,0.171,71.0
2016-12-14,0.169,79.5
2016-12-19,0.162,66.0
2016-12-20,0.161,64.0
2016-12-25,0.193,89.5
2016-12-26,0.179,97.0
2016-12-27,0.177,61.5
2017-01-01,0.162,79.5
2017-01-08,0.131,41.5
2017-01-12,0.185,69.0
2017-01-13,0.173,28.5
2017-01-18,0.085,83.5
2017-01-19,0.149,91.0
2017-01-20,0.193,64.5
2017-01-24,0.166,61.0
2017-01-25,0.163,65.5
2017-01-26,0.163,22.0
2017-01-30,0.172,63.5
2017-01-31,0.167,75.0
2017-02-01,0.163,39.5
2017-02-05,0.167,60.0
2017-02-06,0.172,74.5
2017-02-07,0.171,28.5
2017-02-11,0.148,35.0
2017-02-12,0.103,51.0
2017-02-13,0.08,0.5
2017-02-17,0.186,62.5
2017-02-18,0.174,62.0
2017-02-19,0.173,76.0
2017-02-23,0.178,75.5
2017-02-24,0.189,93.5
2017-02-25,0.172,15.5
2017-04-20,0.18,36.5
2017-04-24,0.174,62.5
2017-04-25,0.19,83.5
2017-04-26,0.199,38.0
2017-04-30,0.182,45.0
2017-05-01,0.173,34.0
2017-05-02,0.167,27.5
2017-05-06,0.152,27.5
2017-05-07,0.148,27.0
2017-05-08,0.145,10.5
2017-05-12,0.169,20.5
2017-05-13,0.159,68.0
2017-05-14,0.171,72.0
2017-05-18,0.177,16.0
2017-05-19,0.161,19.0
2017-05-20,0.152,5.5
2017-05-24,0.124,12.5
2017-05-25,0.11,8.5
2017-05-26,0.1,3.5
2017-05-30,0.082,18.0
2017-05-31,0.081,14.0
2017-06-01,0.17,1.5
2017-06-05,0.141,26.0
2017-06-06,0.131,76.0
2017-06-07,0.163,57.0
2017-06-11,0.169,69.5
2017-06-12,0.198,41.5
2017-06-13,0.176,44.5
2017-06-18,0.129,19.5
2017-06-19,0.107,20.0
2017-06-23,0.088,30.5
2017-06-24,0.088,28.5
2017-06-25,0.16,34.5
2017-06-29,0.139,53.5
2017-06-30,0.184,46.5
2017-07-01,0.186,48.0
2017-07-05,0.165,28.5
2017-07-06,0.153,15.5
2017-10-04,0.237,70.0
2017-10-05,0.24,60.5
2017-10-09,0.212,47.5
2017-10-10,0.207,75.0
2017-10-11,0.224,62.5
2017-10-15,0.231,70.0
2017-10-16,0.215,71.5
2017-10-17,0.209,49.5
2017-10-21,0.231,62.5
2017-10-22,0.237,66.5
2017-10-23,0.222,57.0
2017-10-28,0.211,68.5
2017-10-29,0.224,50.0
2017-11-02,0.246,65.5
2017-11-03,0.213,72.5
2017-11-04,0.212,51.5
2017-11-08,0.201,51.5
2017-11-09,0.2,69.0
2017-11-10,0.214,51.5
2017-11-14,0.201,60.0
2017-11-15,0.215,60.0
2017-11-16,0.209,60.0
2017-11-20,0.216,55.0
2017-11-21,0.212,69.0
2017-11-22,0.213,79.5
2017-11-26,0.215,73.5
2017-11-27,0.225,84.5
2017-11-28,0.229,73.5
2017-12-02,0.166,71.5
2017-12-03,0.228,68.0
2017-12-04,0.215,40.0
2017-12-08,0.222,73.0
2017-12-09,0.236,70.0
2017-12-10,0.208,20.0
2017-12-14,0.217,61.0
2017-12-15,0.217,43.0
2017-12-16,0.184,6.5
2017-12-20,0.18,87.0
2017-12-21,0.222,79.0
2017-12-22,0.211,62.0
2017-12-26,0.213,93.0
2017-12-27,0.222,90.0
2017-12-28,0.22,69.0
2018-01-01,0.214,93.5
2018-01-02,0.218,91.0
2018-01-03,0.209,91.5
2018-01-07,0.145,2.0
2018-01-08,0.077,3.0
2018-01-09,0.076,0.0
2018-01-13,0.201,61.0
2018-01-14,0.196,42.0
2018-01-15,0.178,2.0
2018-01-19,0.206,71.5
2018-01-20,0.201,88.5
2018-01-21,0.205,67.0
2018-01-25,0.213,83.0
2018-01-26,0.203,92.0
2018-01-27,0.202,72.0
2018-01-31,0.202,89.0
