,soil moisture,Soil_Moisture
2015-08-20 05:00:00,0.3539,0.3494311
2015-08-21 05:00:00,0.3506,0.31902558
2015-08-22 05:00:00,0.3465,0.34397358
2015-08-23 05:00:00,0.34740000000000004,0.32416537
2015-08-25 05:00:00,0.3448,0.31335518
2015-08-26 05:00:00,0.34380000000000005,0.32611275
2015-08-27 05:00:00,0.3444,0.37289652
2015-08-28 05:00:00,0.3476,0.33838409999999997
2015-08-29 05:00:00,0.3538,0.40394574
2015-08-30 05:00:00,0.3518,0.29812914
2015-08-31 05:00:00,0.3531,0.31142932
2015-09-02 05:00:00,0.1703,0.32151416
2015-09-03 05:00:00,0.16940000000000002,0.32458255
2015-09-04 05:00:00,0.17010000000000006,0.3305634
2015-09-05 05:00:00,0.5186,0.3283866
2015-09-07 05:00:00,0.3936,0.33776972
2015-09-08 05:00:00,0.3752,0.31507179999999996
2015-09-09 05:00:00,0.3544,0.32096192
2015-09-10 05:00:00,0.3939,0.31972745
2015-09-12 05:00:00,0.1959,0.30967307
2015-09-13 05:00:00,0.3643,0.30315253
2015-09-14 05:00:00,0.3489,0.41815636
2015-09-15 05:00:00,0.3404,0.31759268
2015-09-16 05:00:00,0.3457,0.37603036
2015-09-17 05:00:00,0.3403,0.32929435
2015-09-18 05:00:00,0.3594,0.32620859999999996
2015-09-20 05:00:00,0.3667,0.51613957
2015-09-21 05:00:00,0.3648,0.36967206
2015-09-22 05:00:00,0.3675,0.31874287
2015-09-23 05:00:00,0.3779,0.35414624
2015-09-25 05:00:00,0.3835,0.31887859999999996
2015-09-26 05:00:00,0.3891,0.36171553
2015-09-27 05:00:00,0.3844,0.37794852
2015-09-28 05:00:00,0.383,0.32896040000000004
2015-09-30 05:00:00,0.3887,0.38312690000000005
2015-10-01 05:00:00,0.1782,0.3240741
2015-10-02 05:00:00,0.16649999999999998,0.37143904
2015-10-03 05:00:00,0.1696,0.33145058
2015-10-04 05:00:00,0.1709,0.37423187
2015-10-05 05:00:00,0.5225,0.32086208
2015-10-06 05:00:00,0.4184000000000001,0.283275
2015-10-07 05:00:00,0.3834,0.3591698
2015-10-08 05:00:00,0.381,0.3492436
2015-10-09 05:00:00,0.3551,0.3451925
2015-10-10 05:00:00,0.3746,0.29712686
2015-10-11 05:00:00,0.3825,0.40939873
2015-10-13 05:00:00,0.3844,0.3612419
2015-10-14 05:00:00,0.3864,0.36191562
2015-10-16 05:00:00,0.3849,0.33654377
2015-10-18 05:00:00,0.3736,0.3784155
2015-10-19 05:00:00,0.3751,0.31919682
2015-10-20 05:00:00,0.3843,0.37245178
2015-10-21 05:00:00,0.3842,0.3207177
2015-10-22 05:00:00,0.3914,0.38115427
2015-10-23 05:00:00,0.3843,0.2806917
2015-10-24 05:00:00,0.3835,0.2678565
2015-10-25 05:00:00,0.3807,0.41475087
2015-10-26 05:00:00,0.3883,0.29970840000000004
2015-10-27 05:00:00,0.3693,0.29346788
2015-10-28 05:00:00,0.3741,0.30082816
2015-10-29 05:00:00,0.3797,0.2685655
2015-10-31 05:00:00,0.2752,0.32056987
2015-11-01 05:00:00,0.1797,0.33675426
2015-11-02 05:00:00,0.168,0.34624106
2015-11-03 05:00:00,0.17079999999999998,0.30288884
2015-11-05 05:00:00,0.5196000000000001,0.32020268
2015-11-06 05:00:00,0.426,0.25453553
2015-11-07 05:00:00,0.3931,0.34744826
2015-11-08 05:00:00,0.3729,0.31242475
2015-11-09 05:00:00,0.3627,0.31780590000000003
2015-11-10 05:00:00,0.3921,0.27656507
2015-11-11 05:00:00,0.3806000000000001,0.26819718
2015-11-12 05:00:00,0.17420000000000002,0.31819648
2015-11-13 05:00:00,0.3577,0.28755012
2015-11-14 05:00:00,0.31620000000000004,0.18392773
2015-11-15 05:00:00,0.3592,0.23686856
2015-11-16 05:00:00,0.3013,0.23434193
2015-11-18 05:00:00,0.2245,0.29464552
2015-11-19 05:00:00,0.2328,0.23299737
2015-11-20 05:00:00,0.1895,0.24718785
2015-11-21 05:00:00,0.17190000000000005,0.22276232
2015-11-23 05:00:00,0.1728,0.23634471
2015-11-24 05:00:00,0.1698,0.25732866
2015-11-25 05:00:00,0.1726,0.26902992
2015-11-26 05:00:00,0.1725,0.26570609999999995
2015-11-27 05:00:00,0.2289,0.24884519
2015-11-28 05:00:00,0.1707,0.22757752
2015-11-29 05:00:00,0.1743,0.21349399
2015-11-30 05:00:00,0.1673,0.36365223
2015-12-01 05:00:00,0.1872,0.26124713
2015-12-02 05:00:00,0.16870000000000002,0.28749248
2015-12-03 05:00:00,0.1702,0.20826682
2015-12-04 05:00:00,0.17170000000000002,0.23090003
2015-12-06 05:00:00,0.4164,0.2761055
2015-12-07 05:00:00,0.3922,0.22257860000000002
2015-12-08 05:00:00,0.3706,0.25690168
2015-12-09 05:00:00,0.3658,0.2649526
2015-12-11 05:00:00,0.3812,0.2653406
2015-12-12 05:00:00,0.1732,0.20929499999999998
2015-12-13 05:00:00,0.17170000000000002,0.17516704
2015-12-14 05:00:00,0.1703,0.20681970000000002
2015-12-15 05:00:00,0.1718,0.30975634
2015-12-16 05:00:00,0.17079999999999998,0.2276379
2015-12-17 05:00:00,0.17190000000000005,0.19495167
2015-12-18 05:00:00,0.16829999999999998,0.23475078
2015-12-19 05:00:00,0.16879999999999998,0.24594169999999999
2015-12-20 05:00:00,0.16920000000000002,0.2716962
2015-12-21 05:00:00,0.16879999999999998,0.26497185
2015-12-22 05:00:00,0.3027,0.25561497
2015-12-24 05:00:00,0.177,0.23051964
2015-12-25 05:00:00,0.1703,0.21899611
2015-12-26 05:00:00,0.1741,0.21444954
2015-12-27 05:00:00,0.17120000000000002,0.21833734
2015-12-29 05:00:00,0.1705,0.22705638
2015-12-30 05:00:00,0.1727,0.17624289999999998
2015-12-31 05:00:00,0.16649999999999998,0.24308512
2016-01-01 05:00:00,0.16829999999999998,0.24881285
2016-01-04 05:00:00,0.2004,0.1855
2016-01-05 05:00:00,0.5149,0.15874536
2016-01-06 05:00:00,0.3885,0.10630671
2016-01-07 05:00:00,0.3816,0.093099505
2016-01-08 05:00:00,0.3431,0.0802346
2016-01-09 05:00:00,0.3258,0.13993134
2016-01-11 05:00:00,0.1288,0.14312688
2016-01-12 05:00:00,0.1301,0.13904268
2016-01-13 05:00:00,0.187,0.1265869
2016-01-14 05:00:00,0.1991,0.09114383
2016-01-16 05:00:00,0.1725,0.12968776
2016-01-17 05:00:00,0.1628,0.16530906
2016-01-18 05:00:00,0.1844,0.14042436
2016-01-19 05:00:00,0.1815,0.07713742
2016-01-21 05:00:00,0.1896,0.07323099999999999
2016-01-22 05:00:00,0.1725,0.14263937
2016-01-23 05:00:00,0.1659,0.20798689
2016-01-24 05:00:00,0.16879999999999998,0.16420045
2016-01-25 05:00:00,0.1636,0.23768910000000001
2016-01-26 05:00:00,0.171,0.10950217400000001
2016-01-27 05:00:00,0.171,0.16144583
2016-01-29 05:00:00,0.1759,0.13555726
2016-01-30 05:00:00,0.1673,0.17660953
2016-01-31 05:00:00,0.162,0.20140614
2016-02-01 05:00:00,0.1728,0.18336421
2016-02-04 05:00:00,0.17670000000000002,0.17740284
2016-02-05 05:00:00,0.5135000000000001,0.16383336
2016-02-06 05:00:00,0.3835,0.13859397
2016-02-08 05:00:00,0.3441,0.18959217
2016-02-09 05:00:00,0.3261,0.16300978
2016-02-10 05:00:00,0.3218,0.27164328
2016-02-11 05:00:00,0.1383,0.17138998
2016-02-12 05:00:00,0.1275,0.21374638
2016-02-13 05:00:00,0.1654,0.15706234
2016-02-14 05:00:00,0.16140000000000002,0.1702517
2016-02-15 05:00:00,0.168,0.18690823
2016-02-16 05:00:00,0.1632,0.16363494
2016-02-17 05:00:00,0.1636,0.18043484
2016-02-18 05:00:00,0.1656,0.16984642
2016-02-19 05:00:00,0.1696,0.19153620000000002
2016-02-21 05:00:00,0.16210000000000002,0.19955770000000003
2016-02-22 05:00:00,0.16329999999999995,0.17659606
2016-02-23 05:00:00,0.165,0.18600896
2016-02-24 05:00:00,0.1636,0.17356709
2016-02-26 05:00:00,0.1791,0.13075691
