datetime_utc,soil moisture,ssm
2017-06-14,0.2774,59.5
2017-06-15,0.268,82.0
2017-06-19,0.2995,78.0
2017-06-20,0.2864,47.0
2017-06-21,0.2757,67.5
2017-06-22,0.2674,72.0
2017-06-25,0.32659999999999995,74.5
2017-06-26,0.3104,59.5
2017-06-27,0.2938,69.0
2017-06-28,0.2818,64.5
2017-06-07,0.2756,79.5
2017-07-07,0.26780000000000004,73.5
2017-08-07,0.2618,57.0
2017-09-07,0.2582,98.5
2017-10-07,0.2511,62.0
2017-11-07,0.2451,13.5
2017-12-07,0.2392,70.0
2017-07-13,0.2369,59.0
2017-07-14,0.2294,62.5
2017-07-15,0.2257,61.5
2017-07-16,0.2202,62.0
2017-07-19,0.2152,75.5
2017-07-20,0.2088,57.5
2017-07-22,0.238,71.0
2017-07-25,0.31120000000000003,62.5
2017-07-26,0.2837,70.0
2017-07-27,0.26530000000000004,71.0
2017-07-28,0.2565,67.5
2017-07-31,0.3185,78.5
2017-04-08,0.35479999999999995,45.5
2017-05-08,0.32630000000000003,22.5
2017-06-08,0.3095,66.0
2017-07-08,0.29960000000000003,62.0
2017-08-08,0.287,73.0
2017-09-08,0.2762,96.5
2017-10-08,0.2777,56.5
2017-08-13,0.2605,52.5
2017-08-14,0.2535,58.0
2017-08-18,0.2543,69.5
2017-08-20,0.2685,77.5
2017-08-24,0.2818,75.5
2017-08-25,0.2709,52.5
2017-08-27,0.258,65.5
2017-08-30,0.2381,58.0
2017-08-31,0.2358,49.0
2017-01-09,0.2349,62.5
2017-03-09,0.2229,28.5
2017-04-09,0.2162,40.0
2017-05-09,0.2145,32.0
2017-06-09,0.2148,91.5
2017-07-09,0.2862,64.5
2017-09-13,0.2978,76.0
2017-09-18,0.3396,54.0
2017-09-20,0.3201,80.5
2017-09-23,0.3116,66.0
2017-09-25,0.3062,60.0
2017-09-29,0.2827,36.5
2017-09-30,0.279,39.0
2017-01-10,0.276,2.5
2017-03-10,0.2945,37.0
2017-05-10,0.31120000000000003,56.5
2017-06-10,0.3153,90.0
2017-07-10,0.3077,77.0
2017-11-10,0.3256,76.5
2017-12-10,0.3404,35.5
2017-10-13,0.3439,50.5
2017-10-17,0.3261,54.0
2017-10-18,0.31980000000000003,60.0
2017-10-19,0.31670000000000004,62.5
2017-10-20,0.315,46.0
2017-10-23,0.3648,49.5
2017-10-24,0.3464,75.0
2017-10-25,0.3606,99.0
2017-10-26,0.35850000000000004,74.0
2017-10-29,0.3447,39.0
2017-10-30,0.3606,21.5
2017-10-31,0.345,0.0
2017-04-11,0.3482,23.0
2017-05-11,0.3418,65.5
2017-09-11,0.3296,68.0
2017-10-11,0.3265,96.0
2017-11-11,0.35240000000000005,43.0
2017-12-11,0.3504,19.0
2017-11-13,0.3513,0.0
2017-11-16,0.3431,68.0
2017-11-17,0.33840000000000003,53.0
2017-11-18,0.3383,57.5
2017-11-22,0.34240000000000004,91.0
2017-11-23,0.3666,73.0
2017-11-24,0.3546,66.0
