datetime_utc,soil moisture,ssm
2017-08-30,0.2394,46.5
2017-08-31,0.2273,59.5
2017-01-09,0.2711,93.5
2017-03-09,0.2414,91.5
2017-04-09,0.2331,15.0
2017-05-09,0.2776,0.5
2017-06-09,0.2766,25.5
2017-07-09,0.2798,30.5
2017-09-13,0.2985,74.0
2017-09-23,0.3119,74.5
2017-09-25,0.2813,68.0
2017-09-29,0.2358,57.5
2017-09-30,0.2276,51.5
2017-03-10,0.2722,86.5
2017-05-10,0.2686,13.5
2017-11-10,0.2939,91.5
2017-12-10,0.2883,55.5
2017-10-13,0.2877,66.0
2017-10-17,0.267,67.0
2017-10-18,0.2765,60.5
2017-10-19,0.2876,58.5
2017-10-23,0.3181,74.0
2017-10-24,0.2987,71.0
2017-10-25,0.326,84.0
2017-10-29,0.2882,67.5
2017-10-30,0.2779,60.5
2017-10-31,0.2626,56.0
2017-03-11,0.2601,56.5
2017-09-11,0.2626,62.5
2017-10-11,0.2802,72.5
2017-11-11,0.29350000000000004,80.5
2017-12-11,0.2927,50.5
2017-11-16,0.2686,96.0
2017-11-17,0.29710000000000003,88.0
2017-11-18,0.3039,99.5
2017-11-22,0.2774,52.0
2017-11-23,0.3187,92.0
2017-11-24,0.3096,99.0
2017-11-29,0.4864,95.0
2017-10-12,0.4049,64.5
2017-11-12,0.3827,58.0
2017-12-12,0.3569,58.0
2017-12-16,0.3847,49.5
2017-12-17,0.3259,38.0
2017-12-22,0.371,92.5
2017-12-23,0.3955,95.5
2017-12-29,0.3951,94.0
2018-08-01,0.1245,12.5
2018-09-01,0.2332,53.0
2018-10-01,0.1101,61.5
2018-11-01,0.2622,90.0
2018-01-15,0.1127,57.5
2018-01-16,0.1207,88.0
2018-01-17,0.2464,76.0
2018-01-21,0.1389,30.5
2018-01-22,0.1193,24.5
2018-01-27,0.341,88.0
2018-01-28,0.327,96.0
2018-02-02,0.3321,59.5
2018-06-02,0.07385,0.5
2018-07-02,0.08070000000000001,21.5
2018-08-02,0.0877,2.5
2018-09-02,0.0917,62.5
2018-10-02,0.07602,65.0
2018-02-14,0.1819,80.5
2018-02-15,0.0951,59.0
2018-02-20,0.1283,64.5
2018-02-21,0.1155,59.0
2018-02-22,0.1021,56.5
2018-02-27,0.07272,43.0
2018-02-03,0.065,54.5
2018-04-03,0.06527000000000001,42.0
2018-05-03,0.07264,43.0
2018-06-03,0.07804,0.5
2018-07-03,0.01655,14.0
2018-08-03,0.03299,9.0
2018-03-16,-0.00573,58.0
2018-03-17,-0.01249,61.0
2018-03-18,-0.01521,49.5
2018-03-22,0.06701,94.0
2018-03-23,0.08070000000000001,87.0
2018-03-28,-0.00439,80.5
2018-03-29,-0.0040100000000000005,73.5
2018-03-30,-0.00588,28.5
2018-01-04,-0.007040000000000002,96.5
2018-03-04,-0.007170000000000002,49.0
2018-04-04,0.02545,88.5
2018-05-04,0.1055,16.0
2018-06-04,0.117,0.5
2018-07-04,0.06287000000000001,22.5
2018-04-16,0.01134,30.5
2018-04-23,0.3765,12.5
