,soil moisture,soil_moisture
2016-07-24 05:00:00,0.3664,0.21784157
2016-07-25 05:00:00,0.3763,0.23526588
2016-07-26 05:00:00,0.3720000000000001,0.20128232
2016-07-27 05:00:00,0.3414,0.21753879
2016-07-28 05:00:00,0.34619999999999995,0.22590251
2016-07-29 05:00:00,0.343,0.22001027
2016-07-30 05:00:00,0.3432,0.21617848
2016-07-31 05:00:00,0.3406,0.23787169
2016-08-01 05:00:00,0.1915,0.24958655
2016-08-02 05:00:00,0.1673,0.23432103
2016-08-03 05:00:00,0.16399999999999998,0.23480589999999998
2016-08-04 05:00:00,0.1739,0.2251382
2016-08-05 05:00:00,0.4854,0.21779625
2016-08-06 05:00:00,0.3971,0.23874067
2016-08-07 05:00:00,0.4014,0.2340732
2016-08-08 05:00:00,0.3355,0.24113098
2016-08-09 05:00:00,0.3305,0.30175418
2016-08-10 05:00:00,0.3196,0.24242575
2016-08-11 05:00:00,0.1227,0.2277919
2016-08-12 05:00:00,0.1348,0.24895959
2016-08-13 05:00:00,0.3443,0.2402708
2016-08-14 05:00:00,0.3414,0.23752753
2016-08-15 05:00:00,0.3403,0.2262216
2016-08-16 05:00:00,0.338,0.22117034
2016-08-17 05:00:00,0.3368,0.21969973
2016-08-18 05:00:00,0.33390000000000003,0.25409472
2016-08-19 05:00:00,0.33140000000000003,0.22363709
2016-08-20 05:00:00,0.3318,0.21074247
2016-08-21 05:00:00,0.33270000000000005,0.22453834
2016-08-22 05:00:00,0.33340000000000003,0.22933331
2016-08-23 05:00:00,0.33030000000000004,0.22052592
2016-08-24 05:00:00,0.3315,0.20565952
2016-08-25 05:00:00,0.3292,0.22165196
2016-08-26 05:00:00,0.3285,0.20592105
2016-08-27 05:00:00,0.3274,0.23503065
2016-08-28 05:00:00,0.3309,0.20729755
2016-08-29 05:00:00,0.3293,0.19643414
2016-08-30 05:00:00,0.3284,0.22169675
2016-08-31 05:00:00,0.3285,0.20887467
2016-09-01 05:00:00,0.1724,0.21913086
2016-09-02 05:00:00,0.1684,0.30977124
2016-09-03 05:00:00,0.1858,0.21429442
2016-09-04 05:00:00,0.3088,0.24968965
2016-09-05 05:00:00,0.4883,0.20453775
2016-09-07 05:00:00,0.3912,0.24317145
2016-09-08 05:00:00,0.3439,0.24142754
2016-09-09 05:00:00,0.33,0.21413551
2016-09-10 05:00:00,0.3187,0.24064806
2016-09-11 05:00:00,0.1228,0.22424169
2016-09-12 05:00:00,0.14800000000000002,0.25269482
2016-09-13 05:00:00,0.3321,0.21775563
2016-09-14 05:00:00,0.3306,0.23788033
2016-09-15 05:00:00,0.3305,0.23976083
2016-09-16 05:00:00,0.33140000000000003,0.22324458
2016-09-17 05:00:00,0.33030000000000004,0.20861867
2016-09-18 05:00:00,0.32909999999999995,0.22652476
2016-09-19 05:00:00,0.3262,0.20987433
2016-09-20 05:00:00,0.3255,0.20952183
2016-09-21 05:00:00,0.3247,0.21087246
2016-09-22 05:00:00,0.3235,0.21571133
2016-09-23 05:00:00,0.3232,0.24241787
2016-09-24 05:00:00,0.3231,0.23091460000000003
2016-09-25 05:00:00,0.3231,0.2241124
2016-09-26 05:00:00,0.32530000000000003,0.20472096
2016-09-30 05:00:00,0.3234,0.22053126
2016-10-01 05:00:00,0.1716,0.26375338
2016-10-02 05:00:00,0.1605,0.24596213
2016-10-05 05:00:00,0.4835,0.18340689999999998
2016-10-06 05:00:00,0.39,0.23751168
2016-10-07 05:00:00,0.3936,0.22981624
2016-10-08 05:00:00,0.3427,0.21090284
2016-10-09 05:00:00,0.3284,0.18701716
2016-10-10 05:00:00,0.3181,0.19024324
2016-10-11 05:00:00,0.1209,0.19105429999999998
2016-10-12 05:00:00,0.1184,0.24349551
2016-10-13 05:00:00,0.3129,0.21665992
2016-10-14 05:00:00,0.3129,0.19963698
2016-10-15 05:00:00,0.3132,0.17104867
2016-10-16 05:00:00,0.3135,0.16432649
2017-01-01 05:00:00,0.1251,0.12502503
2017-04-23 05:00:00,0.1346,0.08099968
2017-07-23 05:00:00,0.3477,0.24386029
2017-07-24 05:00:00,0.34630000000000005,0.35482790000000003
2017-07-25 05:00:00,0.34380000000000005,0.25567114
2017-07-26 05:00:00,0.34090000000000004,0.25721517
2017-07-27 05:00:00,0.3385,0.23565853
2017-07-28 05:00:00,0.3358,0.24436115
2017-07-29 05:00:00,0.33380000000000004,0.22372654
2017-07-30 05:00:00,0.336,0.21832076
2017-07-31 05:00:00,0.3435,0.25504842
2017-08-01 05:00:00,0.1192,0.25807363
2017-08-02 05:00:00,0.1311,0.28143224
2017-08-03 05:00:00,0.1334,0.23086245
2017-08-04 05:00:00,0.1347,0.20989929
2017-08-05 05:00:00,0.1414,0.23531657
2017-08-06 05:00:00,0.3752,0.25911325
2017-08-07 05:00:00,0.3439,0.22175086
2017-08-08 05:00:00,0.3486,0.3194369
2017-08-09 05:00:00,0.3368,0.21765932
2017-08-10 05:00:00,0.3304,0.22492667
2017-08-11 05:00:00,0.294,0.23210411
2017-08-12 05:00:00,0.1227,0.24209863
2017-08-13 05:00:00,0.3442,0.21568383
2017-08-14 05:00:00,0.3427,0.22870848
2017-08-15 05:00:00,0.3432,0.21923845
2017-08-16 05:00:00,0.3431,0.22335067
2017-08-17 05:00:00,0.3433,0.23378167
2017-08-18 05:00:00,0.3418,0.24240516
2017-08-19 05:00:00,0.3396,0.2425554
2017-08-20 05:00:00,0.3522,0.27342874
2017-08-21 05:00:00,0.35810000000000003,0.25262192
2017-08-22 05:00:00,0.3546,0.24315734
2017-08-23 05:00:00,0.35229999999999995,0.23429570000000002
2017-08-24 05:00:00,0.3501,0.21441069
2017-08-25 05:00:00,0.35,0.2330031
2017-08-26 05:00:00,0.3539,0.22422051
2017-08-27 05:00:00,0.3517,0.22869597
2017-08-28 05:00:00,0.3511,0.19470829
2017-08-29 05:00:00,0.3472,0.22058165
2017-08-30 05:00:00,0.3472,0.24578345
2017-08-31 05:00:00,0.3453,0.23574993
2017-09-01 05:00:00,0.1207,0.22186704
2017-09-02 05:00:00,0.1334,0.21678956
2017-09-03 05:00:00,0.1289,0.22471288
2017-09-04 05:00:00,0.1333,0.20977379999999998
2017-09-05 05:00:00,0.1389,0.23807305
2017-09-06 05:00:00,0.3704,0.22720775
2017-09-07 05:00:00,0.342,0.20523342
2017-09-08 05:00:00,0.3457,0.3028034
2017-09-09 05:00:00,0.3368,0.21170022
2017-09-10 05:00:00,0.33,0.20139544
2017-09-11 05:00:00,0.1348,0.234188
2017-09-12 05:00:00,0.12,0.22621968
2017-09-13 05:00:00,0.3435,0.21703085
2017-09-14 05:00:00,0.3443,0.22727983
2017-09-15 05:00:00,0.3428,0.22298379999999998
2017-09-16 05:00:00,0.3425,0.2084975
2017-09-17 05:00:00,0.34119999999999995,0.21516888
2017-09-18 05:00:00,0.3425,0.20795333
2017-09-19 05:00:00,0.3411,0.21744597
2017-09-20 05:00:00,0.33990000000000004,0.19943121
2017-09-21 05:00:00,0.3396,0.18315079999999997
