date_time,soil moisture,ssm
2015-04-06,0.182,95.5
2015-04-18,0.181,71.5
2015-04-25,0.16,54.0
2015-04-30,0.17,82.0
2015-05-05,0.199,95.5
2015-05-07,0.224,98.5
2015-05-17,0.188,75.0
2015-05-24,0.184,41.0
2015-05-29,0.182,92.0
2015-05-31,0.219,87.0
2015-06-05,0.191,63.5
2015-06-10,0.168,57.5
2015-06-12,0.157,45.0
2015-06-17,0.173,92.5
2015-06-22,0.23,67.5
2015-06-24,0.191,42.0
2015-06-29,0.173,47.5
2015-07-04,0.147,42.0
2015-07-06,0.15,65.5
2015-07-11,0.16,53.0
2015-07-16,0.151,76.0
2015-07-28,0.044,96.5
2015-07-30,0.042,78.0
2015-08-09,0.016,70.0
2015-08-16,0.016,64.0
2015-08-21,0.016,44.5
2015-08-23,0.015,59.5
2015-08-28,0.015,75.5
2015-09-02,0.016,74.0
2015-09-04,0.016,85.0
2015-09-09,0.015,61.0
2015-09-16,0.019,97.5
2015-10-20,0.188,56.5
2015-10-27,0.182,56.0
2015-11-01,0.177,58.0
2015-11-03,0.179,70.5
2015-11-15,0.22,94.5
2015-11-20,0.233,97.0
2015-11-27,0.21,72.5
2015-12-02,0.223,93.0
2015-12-09,0.225,79.0
2015-12-21,0.204,70.0
2015-12-26,0.219,97.0
2016-01-07,0.086,4.0
2016-01-14,0.24,63.5
2016-01-19,0.107,25.5
2016-01-26,0.294,77.0
2016-01-31,0.232,94.0
2016-02-07,0.22,73.0
2016-02-12,0.213,73.0
2016-02-19,0.112,14.0
2016-02-24,0.235,92.0
2016-03-02,0.201,79.5
2016-03-07,0.208,84.0
2016-03-14,0.194,44.5
2016-03-19,0.189,70.0
2016-03-31,0.202,87.0
2016-04-07,0.226,96.5
2016-04-12,0.193,98.0
2016-04-19,0.202,85.0
2016-05-01,0.211,80.5
2016-05-06,0.183,59.0
2016-05-13,0.115,29.0
2016-05-18,0.105,16.5
2016-05-25,0.167,70.0
2016-05-30,0.126,46.0
2016-06-04,0.102,29.0
2016-06-06,0.086,32.5
2016-06-11,0.072,10.0
2016-06-28,0.197,57.0
2016-06-30,0.194,65.5
2016-07-05,0.196,63.5
2017-10-04,0.243,62.5
2017-10-05,0.249,56.5
2017-10-09,0.239,44.5
2017-10-10,0.238,72.5
2017-10-11,0.241,64.0
2017-10-15,0.248,64.5
2017-10-16,0.245,65.5
2017-10-17,0.243,48.5
2017-10-21,0.245,62.0
2017-10-22,0.25,65.5
2017-10-23,0.242,55.5
2017-10-28,0.239,68.0
2017-10-29,0.241,48.0
2017-11-02,0.246,66.0
2017-11-03,0.239,79.5
2017-11-04,0.238,57.5
2017-11-08,0.233,53.0
2017-11-09,0.233,73.0
2017-11-10,0.238,59.5
2017-11-14,0.235,66.5
2017-11-15,0.24,68.5
2017-11-16,0.236,74.5
2017-11-20,0.244,61.0
2017-11-21,0.239,75.5
2017-11-22,0.24,91.5
2017-11-26,0.238,85.0
2017-11-27,0.243,97.0
2017-11-28,0.246,86.5
2017-12-02,0.228,81.0
2017-12-03,0.243,78.5
2017-12-04,0.239,53.5
2017-12-08,0.243,90.0
2017-12-09,0.246,82.5
2017-12-10,0.238,20.0
2017-12-14,0.241,67.5
2017-12-15,0.242,52.0
2017-12-16,0.232,10.0
2017-12-20,0.246,92.5
2017-12-21,0.241,87.0
2017-12-22,0.236,74.0
2017-12-27,0.244,98.5
2017-12-28,0.245,77.0
2018-01-01,0.242,99.5
2018-01-07,0.23,1.0
2018-01-08,0.11,5.0
2018-01-09,0.102,1.0
2018-01-13,0.24,69.5
2018-01-14,0.236,50.5
2018-01-15,0.225,3.0
2018-01-19,0.237,88.0
2018-01-21,0.237,76.5
2018-01-25,0.243,93.5
2018-01-26,0.239,99.5
2018-01-27,0.237,65.0
2018-01-31,0.237,98.5
2018-02-02,0.248,98.0
2018-02-06,0.133,13.5
2018-02-07,0.11,55.0
2018-02-08,0.119,4.0
2018-02-12,0.15,78.5
2018-02-13,0.243,77.0
2018-02-14,0.239,8.5
2018-02-18,0.242,78.0
2018-02-24,0.218,24.5
2018-02-25,0.204,10.0
2018-03-02,0.096,0.0
2018-03-03,0.099,12.5
2018-03-08,0.207,81.5
2018-03-09,0.239,92.0
2018-03-10,0.238,7.5
2018-03-14,0.231,80.0
2018-03-15,0.228,94.5
2018-03-21,0.208,91.5
2018-03-22,0.213,77.0
2018-03-27,0.205,57.0
2018-03-28,0.203,56.5
2018-04-01,0.194,54.5
2018-04-02,0.191,68.0
2018-04-03,0.195,96.5
2018-04-07,0.214,78.5
2018-04-08,0.207,91.5
2018-04-09,0.204,57.0
2018-04-13,0.187,53.0
2018-04-26,0.146,58.5
2018-04-27,0.137,19.5
2018-05-02,0.214,71.0
2018-05-03,0.2,89.5
2018-05-25,0.064,17.5
2018-05-31,0.055,3.0
2018-06-01,0.053,7.5
2018-06-02,0.051,14.0
2018-06-06,0.048,7.0
2018-06-07,0.047,8.0
2018-06-08,0.046,6.5
2018-06-12,0.061,3.5
2018-06-13,0.063,5.0
2018-06-14,0.063,0.0
2018-06-18,0.152,40.0
2018-06-19,0.147,22.5
2018-06-20,0.138,31.5
2018-06-25,0.123,22.5
2018-06-26,0.117,11.0
2018-06-30,0.092,24.5
2018-07-01,0.084,12.5
2018-07-02,0.077,22.0
2018-07-06,0.066,34.5
2018-07-07,0.064,27.0
2018-07-08,0.061,8.5
2018-07-12,0.055,62.0
2018-07-13,0.055,23.5
2018-07-14,0.055,8.0
