datetime_utc,soil moisture,Soil_Moisture
2015-07-01 05:00:00,0.3605,0.21017998
2015-08-01 05:00:00,0.3593,0.20684494
2015-09-01 05:00:00,0.3613,0.23464574
2015-10-01 05:00:00,0.386,0.1036184
2015-11-01 05:00:00,0.3923,0.27572805
2015-04-02 05:00:00,0.3673,0.27093333
2015-06-02 05:00:00,0.363,0.34106866
2015-10-02 05:00:00,0.3633,0.31455186
2015-12-02 05:00:00,0.3601,0.27340734
2015-05-03 05:00:00,0.3666,0.21762067
2015-06-03 05:00:00,0.3641,0.2289868
2015-07-03 05:00:00,0.3643,0.224541
2015-08-03 05:00:00,0.3622,0.26602912
2015-09-03 05:00:00,0.359,0.23727308
2015-04-04 05:00:00,0.3718,0.27565628
2015-07-04 05:00:00,0.3613,0.25647889999999995
2015-10-04 05:00:00,0.3515,0.14976734
2015-11-04 05:00:00,0.34869999999999995,0.17851098
2015-12-04 05:00:00,0.34490000000000004,0.44015119999999996
2015-04-15 05:00:00,0.3768,0.26998276
2015-04-18 05:00:00,0.3686,0.5177236
2015-04-20 05:00:00,0.3587,-0.05599582
2015-04-28 05:00:00,0.3428,0.24681778
2015-04-30 05:00:00,0.3389,0.27818057
2015-05-05 05:00:00,0.3475,0.2029239
2015-06-05 05:00:00,0.3639,0.10721258
2015-09-05 05:00:00,0.3468,0.39916512
2015-12-05 05:00:00,0.3383,0.26501366
2015-05-13 05:00:00,0.3716,0.18432084
2015-05-15 05:00:00,0.3566,0.4574339
2015-05-16 05:00:00,0.3494,0.1983779
2015-05-18 05:00:00,0.3439,0.35594755
2015-05-21 05:00:00,0.3645000000000001,0.17541727
2015-05-23 05:00:00,0.35229999999999995,0.19685756
2015-05-24 05:00:00,0.349,0.35594893
2015-05-26 05:00:00,0.3427,0.18860622
2015-05-28 05:00:00,0.3367,0.22891374
2015-05-29 05:00:00,0.33409999999999995,0.18976136
2015-05-31 05:00:00,0.3342,0.23018153
2015-05-06 05:00:00,0.3419,0.5257969
2015-07-06 05:00:00,0.33240000000000003,0.24464699999999998
2015-08-06 05:00:00,0.3289,0.19033274
2015-09-06 05:00:00,0.3256,0.19131882
2015-10-06 05:00:00,0.3219,0.232271
2015-11-06 05:00:00,0.3179,0.22539298
2015-06-13 05:00:00,0.3106,0.14970832
2015-06-15 05:00:00,0.3144,0.1509858
2015-06-16 05:00:00,0.3106,0.24569560000000001
2015-06-18 05:00:00,0.33020000000000005,0.2028007
2015-06-20 05:00:00,0.3812,0.38965255
2015-06-21 05:00:00,0.3637,0.24359319
2015-06-23 05:00:00,0.3661,-0.36880907
2015-06-25 05:00:00,0.3583,0.28964254
2015-06-26 05:00:00,0.3518,0.21284410000000004
2015-06-28 05:00:00,0.3683,0.23725475
2015-04-07 05:00:00,0.3331,0.27402446
2015-10-07 05:00:00,0.358,0.26286784
2015-12-07 05:00:00,0.3421,0.31746918
2015-07-13 05:00:00,0.3369,0.29438838
2015-07-14 05:00:00,0.35229999999999995,0.19354528
2015-07-16 05:00:00,0.3002,0.23814844
2015-07-19 05:00:00,0.2853,0.17751515
2015-07-21 05:00:00,0.3193,0.20150556
2015-07-22 05:00:00,0.3088,0.24309560000000002
2015-07-24 05:00:00,0.2934,0.23153383
2015-07-26 05:00:00,0.33659999999999995,0.3838647
2015-07-27 05:00:00,0.3307,0.2421785
2015-07-29 05:00:00,0.34700000000000003,0.24471626
2015-07-31 05:00:00,0.32520000000000004,0.36086503
2015-05-08 05:00:00,0.3732,0.20501818
2015-06-08 05:00:00,0.3391,0.17859817
2015-07-08 05:00:00,0.32380000000000003,0.41717970000000004
2015-08-08 05:00:00,0.314,0.19998215
2015-09-08 05:00:00,0.3077,0.24227910000000002
2015-08-13 05:00:00,0.2928,0.29700366
2015-08-14 05:00:00,0.2861,0.24226079999999997
2015-08-16 05:00:00,0.2673,0.26638773
2015-08-18 05:00:00,0.2469,0.44928014
2015-08-21 05:00:00,0.2166,0.18629636
2015-08-24 05:00:00,0.1885,0.22887199
2015-08-26 05:00:00,0.1861,0.20246086
2015-08-27 05:00:00,0.1855,0.18035571
2015-08-29 05:00:00,0.1826,-0.04181235
2015-08-31 05:00:00,0.17629999999999998,0.18770079999999997
2015-04-09 05:00:00,0.1893,0.41829175
2015-07-09 05:00:00,0.2829,0.24924923
2015-08-09 05:00:00,0.2674,0.31164038
2015-10-09 05:00:00,0.2424,0.20689248
2015-11-09 05:00:00,0.235,0.24633108
2015-12-09 05:00:00,0.2218,0.5106449000000001
2015-09-13 05:00:00,0.2097,0.15167315
2015-09-14 05:00:00,0.2007,0.20619266
2015-09-16 05:00:00,0.2353,0.01217827
2015-09-18 05:00:00,0.2764,0.24729079999999998
2015-09-19 05:00:00,0.2614,0.24686782
2015-09-21 05:00:00,0.3057,0.2357754
2015-09-23 05:00:00,0.3179,0.07802652
2015-09-24 05:00:00,0.30510000000000004,0.2115995
2015-09-26 05:00:00,0.2868,0.30925748
2015-09-29 05:00:00,0.2668,0.239655
2015-04-10 05:00:00,0.2413,0.2647212
2015-05-10 05:00:00,0.2401,0.31367302
2015-06-10 05:00:00,0.2382,0.09468457
2015-12-10 05:00:00,0.1868,0.25135225
2015-10-14 05:00:00,0.1819,0.2127754
2015-10-17 05:00:00,0.1747,0.19479445
2015-10-19 05:00:00,0.1764,0.14133765
2015-10-20 05:00:00,0.17670000000000002,0.3111598
