date_time,soil moisture,soil_moisture
2016-01-11 05:00:00,0.191,0.35191622
2016-01-13 05:00:00,0.194,0.33096617
2016-01-24 05:00:00,0.074,0.18487144
2016-01-25 05:00:00,0.225,0.42695192
2016-01-26 05:00:00,0.199,0.38373107
2016-01-27 05:00:00,0.199,0.3633764
2016-01-29 05:00:00,0.188,0.34603125
2016-01-30 05:00:00,0.189,0.35602945
2016-02-01 05:00:00,0.184,0.37108257
2016-02-02 05:00:00,0.189,0.37396434
2016-02-03 05:00:00,0.184,0.3890734
2016-02-04 05:00:00,0.179,0.40042332
2016-02-06 05:00:00,0.176,0.32736123
2016-02-07 05:00:00,0.176,0.3447884
2016-02-09 05:00:00,0.195,0.37757638
2016-02-10 05:00:00,0.189,0.38238043
2016-02-11 05:00:00,0.179,0.34365612
2016-02-12 05:00:00,0.158,0.30660328
2016-02-14 05:00:00,0.072,0.17386861
2016-02-15 05:00:00,0.072,0.13173515
2016-02-17 05:00:00,0.067,0.12830658
2016-02-18 05:00:00,0.078,0.14394215
2016-02-19 05:00:00,0.089,0.17815955
2016-02-20 05:00:00,0.213,0.3740679
2016-02-22 05:00:00,0.196,0.36127790000000004
2016-02-23 05:00:00,0.187,0.33109722
2016-02-25 05:00:00,0.166,0.30779415
2016-02-26 05:00:00,0.16,0.28080004
2016-02-27 05:00:00,0.141,0.23767297
2016-02-28 05:00:00,0.152,0.23283243
2016-03-01 05:00:00,0.147,0.19654605
2016-03-02 05:00:00,0.185,0.25530335
2016-03-04 05:00:00,0.18,0.28754002
2016-03-05 05:00:00,0.175,0.27743490000000004
2016-03-06 05:00:00,0.178,0.26732862
2016-03-07 05:00:00,0.173,0.28600824
2016-03-09 05:00:00,0.164,0.25925
2016-03-10 05:00:00,0.151,0.27270824
2016-04-21 05:00:00,0.163,0.23050370000000003
2016-04-22 05:00:00,0.16,0.22849940000000002
2016-04-23 05:00:00,0.155,0.22001083
2016-04-24 05:00:00,0.156,0.22906013
2016-04-26 05:00:00,0.201,0.29537916
2016-04-27 05:00:00,0.206,0.26881963
2016-04-29 05:00:00,0.192,0.27278486
2016-05-04 05:00:00,0.175,0.25749135
2016-05-05 05:00:00,0.173,0.22429785
2016-05-07 05:00:00,0.163,0.21360561
2016-05-08 05:00:00,0.165,0.18391468
2016-05-09 05:00:00,0.158,0.17398915
2016-05-10 05:00:00,0.15,0.16358516
2016-05-12 05:00:00,0.133,0.14667216
2016-05-13 05:00:00,0.122,0.13135046
2016-05-15 05:00:00,0.117,0.13559546
2016-05-16 05:00:00,0.116,0.12361944
2016-05-17 05:00:00,0.113,0.12752356
2016-05-18 05:00:00,0.112,0.12462217
2016-05-20 05:00:00,0.103,0.13031691
2017-10-04 05:00:00,0.244,0.35144725
2017-10-06 05:00:00,0.249,0.3594294
2017-10-07 05:00:00,0.239,0.34379214
2017-10-09 05:00:00,0.236,0.33330914
2017-10-10 05:00:00,0.236,0.32720396
2017-10-11 05:00:00,0.241,0.30691272
2017-10-12 05:00:00,0.273,0.38742432
2017-10-14 05:00:00,0.242,0.3254296
2017-10-15 05:00:00,0.245,0.33435196
2017-10-17 05:00:00,0.234,0.32742566
2017-10-18 05:00:00,0.229,0.32591912
2017-10-19 05:00:00,0.234,0.28811112
2017-10-20 05:00:00,0.232,0.3061811
2017-10-22 05:00:00,0.249,0.32750538
2017-10-23 05:00:00,0.241,0.31909037
2017-10-25 05:00:00,0.244,0.35192612
2017-10-26 05:00:00,0.242,0.35041377
2017-10-27 05:00:00,0.238,0.323368
2017-10-28 05:00:00,0.233,0.35523692
2017-10-30 05:00:00,0.233,0.3803283
2017-10-31 05:00:00,0.229,0.31847492
2017-11-02 05:00:00,0.255,0.36449516
2017-11-03 05:00:00,0.238,0.34941074
2017-11-04 05:00:00,0.237,0.3072357
2017-11-05 05:00:00,0.236,0.33554015
2017-11-07 05:00:00,0.233,0.3218189
2017-11-08 05:00:00,0.23,0.2999988
2017-11-10 05:00:00,0.237,0.32715172
2017-11-11 05:00:00,0.244,0.38455993
2017-11-12 05:00:00,0.246,0.32684958
2017-11-13 05:00:00,0.236,0.34353667
2017-11-15 05:00:00,0.241,0.33824509999999997
2017-11-16 05:00:00,0.236,0.3263283
2017-11-18 05:00:00,0.241,0.41217685
2017-11-19 05:00:00,0.263,0.39398995
2017-11-20 05:00:00,0.25,0.33732998
2017-11-21 05:00:00,0.239,0.33051318
2017-11-23 05:00:00,0.243,0.34068814
2017-11-24 05:00:00,0.242,0.35702527
2017-11-26 05:00:00,0.245,0.3766845
2017-11-27 05:00:00,0.255,0.35286653
2017-11-28 05:00:00,0.251,0.40235707
2017-11-29 05:00:00,0.242,0.3641474
2017-12-01 05:00:00,0.233,0.26554382
2017-12-02 05:00:00,0.228,0.20586112
2017-12-04 05:00:00,0.243,0.33708109999999997
2017-12-05 05:00:00,0.24,0.29358402
2017-12-06 05:00:00,0.239,0.29574636
2017-12-07 05:00:00,0.242,0.3177469
2017-12-09 05:00:00,0.248,0.3504693
2017-12-13 05:00:00,0.234,0.27563465
