datetime_utc,soil moisture,ssm
2017-08-10,0.1994,75.5
2017-09-10,0.18600000000000005,95.0
2017-10-10,0.1875,73.5
2017-11-10,0.2026,0.0
2017-10-14,0.183,84.5
2017-10-15,0.2018,44.0
2017-10-16,0.1897,50.0
2017-10-17,0.1875,20.0
2017-10-23,0.15689999999999998,0.0
2017-10-26,0.1741,15.5
2017-10-27,0.1748,42.5
2017-10-28,0.1732,61.0
2017-05-11,0.1696,11.0
2017-06-11,0.2008,54.0
2017-07-11,0.1898,60.0
2017-10-11,0.2089,62.0
2017-11-13,0.17329999999999998,0.0
2017-11-14,0.1664,0.0
2017-11-15,0.1541,0.5
2017-11-16,0.1547,0.0
2017-11-20,0.1496,9.0
2017-11-21,0.1456,5.5
2017-11-25,0.1517,3.0
2017-11-27,0.1547,29.0
2017-01-12,0.151,4.0
2017-02-12,0.1495,27.5
2017-05-12,0.1449,17.0
2017-06-12,0.1431,45.5
2017-07-12,0.1407,94.0
2017-12-14,0.1636,20.5
2017-12-16,0.1542,48.5
2017-12-19,0.1419,37.0
2017-12-21,0.1509,69.0
2017-12-26,0.1449,99.0
2017-12-28,0.13970000000000002,89.0
2017-12-31,0.136,84.5
2018-04-01,0.1329,54.5
2018-06-01,0.1352,78.5
2018-07-01,0.1366,71.0
2018-08-01,0.1367,71.0
2018-01-14,0.1359,73.5
2018-01-21,0.1322,88.5
2018-01-24,0.1305,62.0
2018-01-26,0.12990000000000002,92.5
2018-01-31,0.1301,91.5
2018-01-02,0.13019999999999998,57.5
2018-05-02,0.1305,55.5
2018-06-02,0.1301,66.5
2018-07-02,0.1301,63.0
2018-11-02,0.1291,57.0
2018-12-02,0.1286,59.0
2018-02-14,0.1278,64.5
2018-02-17,0.1241,97.0
2018-02-26,0.124,89.5
2018-03-03,0.1225,86.0
2018-04-03,0.1218,74.5
2018-09-03,0.1203,57.0
2018-10-03,0.1196,3.5
2018-11-03,0.1191,11.5
2018-03-13,0.1188,83.0
2018-03-15,0.1179,92.0
2018-03-22,0.1151,74.5
2018-08-04,0.1099,58.0
2018-09-04,0.1091,43.5
2018-10-04,0.1091,0.0
2018-11-04,0.1091,43.5
2018-12-04,0.1091,35.0
2018-04-13,0.1085,26.5
2018-04-24,0.16149999999999998,38.5
2018-04-25,0.1646,22.0
2018-04-27,0.1705,40.0
2018-06-05,0.1898,32.5
2018-07-05,0.1913,50.0
2018-08-05,0.1941,60.5
2018-10-05,0.1966,36.0
2018-11-05,0.1875,14.0
2018-05-24,0.1315,44.5
2018-05-25,0.13449999999999998,83.5
2018-05-30,0.1246,47.5
2018-05-31,0.122,72.5
2018-04-06,0.1198,65.5
2018-06-06,0.1125,46.5
2018-07-06,0.1136,62.5
2018-08-06,0.1077,66.5
2018-10-06,0.1143,26.0
2018-06-13,0.1052,43.0
2018-06-14,0.1067,39.5
2018-06-17,0.1132,53.5
2018-06-18,0.1197,71.0
2018-06-19,0.1828,79.5
2018-06-20,0.1764,58.5
2018-06-23,0.2378,79.5
2018-06-24,0.173,70.0
2018-06-25,0.1532,68.0
2018-06-26,0.1448,69.0
2018-06-29,0.1946,71.0
2018-06-30,0.154,56.0
2018-01-07,0.1389,84.5
2018-06-07,0.126,49.5
2018-07-07,0.12619999999999998,59.5
2018-08-07,0.1212,60.0
2018-07-13,0.1082,90.5
