date_time,soil moisture,sm_surface_analysis
2015-04-28 12:00:00,0.184,0.19469906
2015-04-28 15:00:00,0.184,0.18274939
2015-04-28 18:00:00,0.182,0.18548869
2015-04-28 21:00:00,0.18,0.18969731
2015-04-29 00:00:00,0.179,0.1904506
2015-04-29 03:00:00,0.178,0.19357528
2015-04-29 06:00:00,0.178,0.19367225
2015-04-29 09:00:00,0.18,0.19410318
2015-04-29 12:00:00,0.18,0.195024
2015-04-29 15:00:00,0.18,0.19550027
2015-04-29 18:00:00,0.178,0.18697555
2015-04-29 21:00:00,0.178,0.18706979
2015-04-30 00:00:00,0.177,0.23065650000000001
2015-04-30 03:00:00,0.179,0.24496795
2015-04-30 06:00:00,0.211,0.23305720000000002
2015-04-30 09:00:00,0.21,0.22879605
2015-04-30 12:00:00,0.207,0.22586031
2015-04-30 15:00:00,0.232,0.22346468
2015-04-30 18:00:00,0.228,0.22212268
2015-04-30 21:00:00,0.225,0.22116728
2015-05-01 00:00:00,0.223,0.23042929
2015-05-01 03:00:00,0.223,0.22996883
2015-05-01 06:00:00,0.221,0.22593744
2015-05-01 09:00:00,0.221,0.22501934
2015-05-01 12:00:00,0.217,0.22466846
2015-05-01 15:00:00,0.216,0.22255386
2015-05-01 18:00:00,0.223,0.22136964
2015-05-01 21:00:00,0.22,0.21976219
2015-05-02 00:00:00,0.218,0.21831429
2015-05-02 03:00:00,0.217,0.21679926
2015-05-02 06:00:00,0.216,0.21763863
2015-05-02 09:00:00,0.216,0.21647094
2015-05-02 12:00:00,0.212,0.21444173
2015-05-02 15:00:00,0.207,0.21290065
2015-05-02 18:00:00,0.202,0.20829713
2015-05-02 21:00:00,0.199,0.20810713
2015-05-03 00:00:00,0.198,0.2081062
2015-05-03 03:00:00,0.198,0.2072952
2015-05-03 06:00:00,0.196,0.20632891
2015-05-03 09:00:00,0.198,0.20517994
2015-05-03 12:00:00,0.197,0.20402165
2015-05-03 15:00:00,0.194,0.1978461
2015-05-03 18:00:00,0.191,0.19826043
2015-05-03 21:00:00,0.189,0.25617412
2015-05-04 00:00:00,0.241,0.2951785
2015-05-04 03:00:00,0.238,0.2593719
2015-05-04 06:00:00,0.233,0.24464834
2015-05-04 09:00:00,0.23,0.23912941
2015-05-04 12:00:00,0.227,0.23812558
2015-05-04 15:00:00,0.223,0.23450436
2015-05-04 18:00:00,0.221,0.23711467
2015-05-04 21:00:00,0.218,0.23211676
2015-05-05 00:00:00,0.217,0.22838934
2015-05-05 03:00:00,0.216,0.22539984
2015-05-05 06:00:00,0.216,0.23117246
2015-05-05 09:00:00,0.227,0.2629344
2015-05-05 12:00:00,0.235,0.25365815
2015-05-05 15:00:00,0.232,0.2523822
2015-05-05 18:00:00,0.231,0.26764253
2015-05-05 21:00:00,0.226,0.24742423
2015-05-06 00:00:00,0.223,0.23878922
2015-05-06 03:00:00,0.22,0.23359989
2015-05-06 06:00:00,0.219,0.2496884
2015-05-06 09:00:00,0.217,0.23956011
2015-05-06 12:00:00,0.212,0.23371570000000003
2015-05-06 15:00:00,0.206,0.23761620000000003
2015-05-06 18:00:00,0.201,0.23375745
2015-05-06 21:00:00,0.197,0.2311752
2015-05-07 00:00:00,0.198,0.24255241
2015-05-07 03:00:00,0.233,0.2594551
2015-05-07 06:00:00,0.234,0.25162092
2015-05-07 09:00:00,0.233,0.24656685
2015-05-07 12:00:00,0.228,0.24212313
2015-05-07 15:00:00,0.224,0.23602710000000002
2015-05-07 18:00:00,0.218,0.24201272
2015-05-07 21:00:00,0.217,0.23635696
2015-05-08 00:00:00,0.216,0.2323656
2015-05-08 03:00:00,0.215,0.22916897
2015-05-08 06:00:00,0.213,0.2363112
2015-05-08 09:00:00,0.209,0.231963
2015-05-08 12:00:00,0.206,0.22828104
2015-05-08 15:00:00,0.203,0.2253188
2015-05-08 18:00:00,0.201,0.22319083
2015-05-08 21:00:00,0.197,0.22158618
2015-05-09 00:00:00,0.195,0.21964888
2015-05-09 03:00:00,0.195,0.21759944
2015-05-09 06:00:00,0.195,0.2220674
2015-05-09 09:00:00,0.194,0.24864767
2015-05-09 12:00:00,0.201,0.2676104
2015-05-09 15:00:00,0.212,0.25359455
2015-05-09 18:00:00,0.21,0.25019988
2015-05-09 21:00:00,0.208,0.24249144
2015-05-10 00:00:00,0.21,0.2396016
2015-05-10 03:00:00,0.211,0.23676068
2015-05-10 06:00:00,0.214,0.25372103
2015-05-10 09:00:00,0.213,0.24210638
2015-05-10 12:00:00,0.208,0.23541407
2015-05-10 15:00:00,0.203,0.23114038
2015-05-10 18:00:00,0.198,0.22830582
2015-05-10 21:00:00,0.195,0.22649913
2015-05-11 00:00:00,0.193,0.2245721
2015-05-11 03:00:00,0.192,0.2221895
2015-05-11 06:00:00,0.192,0.22943914
2015-05-11 09:00:00,0.191,0.22553979999999996
2015-05-11 12:00:00,0.189,0.22158839
2015-05-11 15:00:00,0.187,0.21620776
2015-05-11 18:00:00,0.184,0.21506722
2015-05-11 21:00:00,0.182,0.21398623
2015-05-12 00:00:00,0.181,0.21340549999999997
2015-05-12 03:00:00,0.181,0.21301252
2015-05-12 06:00:00,0.181,0.2157651
2015-05-12 09:00:00,0.182,0.21381039999999998
2015-05-12 12:00:00,0.183,0.21339042
2015-05-12 15:00:00,0.183,0.23295979
2015-05-12 18:00:00,0.198,0.23640203
2015-05-12 21:00:00,0.204,0.23055582
2015-05-13 00:00:00,0.202,0.22695625
2015-05-13 03:00:00,0.202,0.22545713
2015-05-13 06:00:00,0.206,0.22900320000000002
2015-05-13 09:00:00,0.206,0.22584705
2015-05-13 12:00:00,0.207,0.22701119
2015-05-13 15:00:00,0.21,0.23031448
2015-05-13 18:00:00,0.212,0.22732339999999998
2015-05-13 21:00:00,0.211,0.22393681
2015-05-14 00:00:00,0.209,0.22154702
2015-05-14 03:00:00,0.208,0.21942878
2015-05-14 06:00:00,0.207,0.21757579999999999
