date_time,soil moisture,ssm
2016-05-18,0.17,22.5
2016-05-25,0.22,89.0
2016-05-30,0.179,73.5
2016-06-04,0.156,25.0
2016-06-06,0.134,29.0
2016-06-11,0.101,3.0
2016-06-28,0.209,72.5
2016-06-30,0.199,76.0
2016-07-05,0.206,72.5
2016-07-17,0.216,67.0
2016-07-22,0.188,71.0
2016-07-24,0.187,60.0
2016-07-29,0.175,53.5
2016-08-03,0.158,88.0
2016-08-05,0.193,77.5
2016-08-10,0.184,65.5
2016-08-15,0.182,69.5
2016-08-17,0.153,60.0
2016-08-22,0.121,64.0
2016-08-27,0.094,54.5
2016-08-29,0.161,72.5
2016-09-03,0.11,65.0
2016-09-08,0.145,63.0
2016-09-10,0.121,67.0
2016-09-15,0.098,44.0
2016-09-20,0.089,26.0
2016-09-22,0.088,40.5
2016-09-26,0.086,21.0
2016-09-27,0.086,25.5
2016-09-28,0.085,49.5
2016-10-02,0.17,76.5
2016-10-03,0.194,80.0
2016-10-04,0.186,57.5
2016-10-08,0.157,36.5
2016-10-09,0.152,41.5
2016-10-10,0.153,74.0
2016-10-14,0.151,34.5
2016-10-15,0.145,73.0
2016-10-16,0.144,52.0
2016-10-20,0.175,56.5
2016-10-21,0.179,69.0
2016-10-22,0.18,65.5
2017-01-30,0.233,67.5
2017-01-31,0.232,80.5
2017-02-01,0.23,45.5
2017-02-05,0.231,65.0
2017-02-06,0.232,78.0
2017-02-07,0.233,34.0
2017-02-11,0.227,40.0
2017-02-12,0.226,58.0
2017-02-13,0.225,1.5
2017-02-17,0.23,67.5
2017-02-18,0.229,67.0
2017-02-19,0.229,82.0
2017-02-23,0.29,78.5
2017-02-24,0.347,97.5
2017-02-25,0.335,18.0
2017-03-01,0.392,89.0
2017-03-02,0.396,92.5
2017-03-03,0.379,82.0
2017-03-07,0.327,69.5
2017-03-08,0.292,96.5
2017-03-09,0.302,60.5
2017-03-13,0.244,71.5
2017-03-14,0.241,82.5
2017-03-15,0.241,61.0
2017-03-19,0.413,84.5
2017-03-20,0.428,99.5
2017-03-21,0.422,69.5
2017-03-25,0.261,75.0
2017-03-26,0.246,75.5
2017-03-27,0.242,52.0
2017-03-31,0.245,72.0
2017-04-01,0.241,83.0
2017-04-02,0.238,43.5
2017-04-06,0.231,50.5
2017-04-07,0.23,58.0
2017-04-08,0.23,37.5
2017-04-12,0.234,74.5
2017-04-13,0.236,84.0
2017-04-14,0.231,60.0
2017-04-18,0.231,67.0
2017-04-19,0.226,57.5
2017-04-20,0.224,36.5
2017-04-24,0.221,56.5
2017-04-25,0.226,81.0
2017-04-26,0.228,40.0
2017-04-30,0.227,44.5
2017-05-01,0.224,35.0
2017-05-02,0.22,26.0
2017-05-06,0.204,27.0
2017-05-07,0.199,27.0
2017-05-08,0.195,9.0
2017-05-12,0.199,21.5
2017-05-13,0.194,62.0
2017-05-14,0.193,71.0
2017-05-18,0.216,14.5
2017-05-19,0.204,20.5
2017-05-20,0.194,3.5
2017-05-24,0.152,13.0
2017-05-25,0.139,11.0
2017-05-26,0.128,11.5
2017-05-30,0.11,13.0
2017-05-31,0.11,9.5
2017-06-01,0.109,1.0
2017-06-05,0.104,21.5
2017-06-06,0.103,69.5
2017-06-07,0.114,49.5
2017-06-11,0.21,67.0
