date_time,soil moisture,ssm
2015-04-18,0.157,44.0
2015-04-25,0.143,68.0
2015-04-30,0.147,97.0
2015-05-05,0.177,99.5
2015-05-17,0.164,97.5
2015-05-24,0.162,42.0
2015-05-29,0.155,99.5
2015-05-31,0.211,99.5
2015-06-05,0.169,60.0
2015-06-10,0.152,57.0
2015-06-12,0.143,52.5
2015-06-17,0.155,87.5
2015-06-22,0.168,74.0
2015-06-24,0.177,53.5
2015-06-29,0.2,41.0
2015-07-04,0.12,53.5
2015-07-06,0.104,68.0
2015-07-11,0.135,54.0
2015-07-16,0.101,97.0
2015-07-18,0.087,69.0
2015-07-23,0.122,92.0
2015-07-30,0.17,81.5
2016-02-19,0.157,8.5
2016-02-24,0.187,81.5
2016-03-02,0.166,87.0
2016-03-07,0.181,81.0
2016-04-12,0.201,93.0
2016-04-19,0.214,96.0
2016-05-01,0.215,83.0
2016-05-06,0.191,24.5
2016-05-13,0.166,28.0
2016-05-18,0.166,6.0
2016-05-25,0.208,94.5
2016-05-30,0.169,55.0
2016-06-04,0.153,30.5
2016-06-06,0.13,44.5
2016-06-11,0.124,10.0
2016-06-28,0.21,70.0
2016-06-30,0.198,76.0
2016-07-05,0.209,70.0
2016-07-17,0.211,61.0
2016-07-22,0.18,64.5
2016-07-24,0.171,57.5
2016-07-29,0.178,52.0
2016-10-08,0.097,17.0
2016-10-09,0.099,33.0
2016-10-10,0.115,74.5
2016-10-14,0.173,20.5
2016-10-15,0.168,60.5
2016-10-26,0.204,63.0
2016-10-27,0.212,61.0
2016-10-28,0.206,73.5
2016-11-01,0.2,44.5
2016-11-02,0.199,49.0
2016-11-07,0.213,5.0
2016-11-08,0.203,18.5
2016-11-14,0.181,68.5
2016-11-19,0.231,75.5
2016-11-20,0.237,80.0
2016-11-21,0.235,72.0
2016-11-25,0.19,55.0
2016-11-26,0.189,60.0
2016-12-01,0.217,64.0
2016-12-02,0.198,46.0
2016-12-07,0.179,84.5
2016-12-08,0.186,58.0
2016-12-13,0.176,63.0
2016-12-14,0.174,80.5
2016-12-15,0.17,6.5
2016-12-19,0.168,62.5
2016-12-20,0.166,49.5
2016-12-25,0.191,90.0
2016-12-26,0.186,89.5
2016-12-27,0.184,65.5
2017-01-01,0.168,69.5
2017-01-02,0.179,11.5
2017-01-07,0.068,49.0
2017-01-08,0.094,44.5
2017-01-12,0.184,68.5
2017-01-13,0.173,5.5
2017-01-14,0.133,7.5
2017-01-18,0.076,75.0
2017-01-19,0.184,82.5
2017-01-20,0.166,69.5
2017-01-24,0.14,56.5
2017-01-25,0.137,52.0
2017-01-26,0.136,8.5
2017-01-30,0.137,56.5
2017-01-31,0.13,65.0
2017-02-01,0.126,41.0
2017-02-05,0.133,57.0
2017-02-06,0.142,59.0
2017-02-07,0.132,13.5
2017-02-11,0.125,12.5
2017-02-12,0.123,21.5
2017-02-17,0.136,56.0
2017-02-18,0.128,45.0
2017-02-19,0.129,90.0
