date_time,soil moisture,soil_moisture
2015-09-13 05:00:00,0.463,0.25101438
2015-09-15 05:00:00,0.477,0.28995043
2015-09-16 05:00:00,0.473,0.30859200000000003
2015-09-18 05:00:00,0.486,0.28954664
2015-09-19 05:00:00,0.485,0.26513886
2015-09-20 05:00:00,0.48,0.26883468
2015-09-21 05:00:00,0.474,0.22992889999999996
2015-09-23 05:00:00,0.48,0.25100377
2015-09-24 05:00:00,0.482,0.25222772
2015-09-26 05:00:00,0.488,0.2715527
2015-09-27 05:00:00,0.485,0.26842523
2015-09-28 05:00:00,0.48,0.24289973
2015-09-29 05:00:00,0.474,0.24001668
2015-10-01 05:00:00,0.466,0.2009621
2015-10-02 05:00:00,0.463,0.20496072
2015-10-04 05:00:00,0.457,0.20311062
2015-10-05 05:00:00,0.455,0.12965322
2015-10-06 05:00:00,0.452,0.19692615
2015-10-07 05:00:00,0.45,0.22608024
2015-10-09 05:00:00,0.493,0.26038253
2015-10-10 05:00:00,0.494,0.2483551
2015-10-12 05:00:00,0.488,0.22942548
2015-10-13 05:00:00,0.484,0.24830621
2015-10-14 05:00:00,0.481,0.22180218
2015-10-15 05:00:00,0.477,0.2224109
2015-10-17 05:00:00,0.471,0.24869087
2015-10-18 05:00:00,0.474,0.21061853
2015-10-20 05:00:00,0.468,0.21610555
2015-10-22 05:00:00,0.465,0.21907105
2015-10-23 05:00:00,0.469,0.23961064
2015-10-25 05:00:00,0.464,0.2545756
2015-10-26 05:00:00,0.461,0.25770786
2015-10-28 05:00:00,0.457,0.2414706
2015-10-30 05:00:00,0.452,0.20699781
2015-10-31 05:00:00,0.451,0.20096408
2015-11-02 05:00:00,0.448,0.1997984
2015-11-03 05:00:00,0.447,0.20156541
2015-11-05 05:00:00,0.446,0.19399084
2015-11-07 05:00:00,0.484,0.25470695
2015-11-08 05:00:00,0.493,0.28704223
2015-11-10 05:00:00,0.486,0.2965469
2015-11-11 05:00:00,0.496,0.30113706
2015-11-13 05:00:00,0.498,0.30011413
2015-11-14 05:00:00,0.492,0.421256
2015-11-15 05:00:00,0.493,0.33966333
2015-11-16 05:00:00,-0.99,0.31155673
2015-11-18 05:00:00,0.492,0.33873275
2015-11-19 05:00:00,0.493,0.39738253
2015-11-21 05:00:00,0.482,0.3220795
2015-11-24 05:00:00,0.499,0.28184864
2015-11-26 05:00:00,0.497,0.33815086
2015-11-27 05:00:00,0.495,0.28174505
2015-11-29 05:00:00,0.501,0.35821440000000004
2015-11-30 05:00:00,0.503,0.3877506
2015-12-01 05:00:00,0.484,0.33266857
2015-12-02 05:00:00,0.494,0.2960653
2015-12-04 05:00:00,0.474,0.34462124
2015-12-05 05:00:00,0.482,0.32783252
2015-12-07 05:00:00,0.478,0.3437823
2015-12-08 05:00:00,0.478,0.32142594
2015-12-09 05:00:00,0.471,0.29761067
2015-12-10 05:00:00,0.474,0.3199308
2015-12-12 05:00:00,0.51,0.34276873
2015-12-13 05:00:00,0.509,0.35985009999999995
2015-12-18 05:00:00,0.486,0.31913424
2015-12-20 05:00:00,0.491,0.29917318
2015-12-21 05:00:00,0.483,0.31074604
2015-12-23 05:00:00,0.52,0.34956115
2015-12-24 05:00:00,0.502,0.31752583
2015-12-25 05:00:00,0.505,0.34227437
2015-12-26 05:00:00,0.523,0.33884963
2015-12-28 05:00:00,0.513,0.3441602
2015-12-29 05:00:00,0.525,0.32959425
2015-12-31 05:00:00,0.525,0.30792847
2016-01-01 05:00:00,0.501,0.3115309
2016-01-02 05:00:00,0.496,0.28636965
2016-01-03 05:00:00,0.496,0.17981352
2016-01-05 05:00:00,0.491,0.11633975
2016-01-06 05:00:00,0.484,0.10427691
2016-01-08 05:00:00,0.491,0.11382635
2016-01-09 05:00:00,0.484,0.12987474
2016-01-10 05:00:00,0.535,0.29674065
2016-01-11 05:00:00,0.535,0.319206
2016-01-13 05:00:00,0.535,0.32789016
2016-01-17 05:00:00,0.49,0.13537434
2016-01-18 05:00:00,0.491,0.11106300000000001
2016-01-24 05:00:00,0.498,0.17775343
2016-01-25 05:00:00,0.535,0.41743332
2016-01-26 05:00:00,0.534,0.36487833
2016-01-27 05:00:00,0.534,0.32434297
2016-01-29 05:00:00,0.534,0.31858277
2016-01-30 05:00:00,0.535,0.31612936
2016-02-01 05:00:00,0.537,0.32301230000000003
2016-02-02 05:00:00,0.537,0.36464348
2016-02-03 05:00:00,0.537,0.35485459999999996
2016-02-04 05:00:00,0.536,0.33583403
2016-02-06 05:00:00,0.534,0.30074754
