,soil moisture,ssm
2017-09-17,0.4013000000000001,84.5
2017-09-20,0.4023,66.0
2017-09-22,0.4034,64.0
2017-09-27,0.4032,52.5
2017-09-28,0.401,59.0
2017-09-29,0.4003,66.5
2017-10-02,0.1265,81.0
2017-10-03,0.1482,77.0
2017-10-04,0.3926,77.0
2017-10-05,0.4046,79.0
2017-10-08,0.4379,61.5
2017-10-09,0.4317,56.5
2017-10-10,0.4005,61.0
2017-10-11,0.3952000000000001,78.0
2017-10-14,0.4005,88.5
2017-10-15,0.4013000000000001,54.0
2017-10-16,0.3999,67.0
2017-10-17,0.3977000000000001,70.0
2017-10-21,0.3963,10.5
2017-10-22,0.3963,0.5
2017-10-23,0.3965,20.0
2017-10-26,0.3957,45.5
2017-10-27,0.3967,53.5
2017-10-28,0.3969,50.5
2017-10-29,0.395,10.0
2017-11-02,0.1303,14.0
2017-11-03,0.1646,40.0
2017-11-04,0.3935,20.0
2017-11-07,0.4404,1.0
2017-11-08,0.4355,29.5
2017-11-09,0.4295000000000001,65.0
2017-11-10,0.4006,0.0
2017-11-16,0.3946,0.0
2017-11-20,0.3946,2.0
2017-11-21,0.3949,0.0
2017-11-22,0.3949,0.0
2017-11-25,0.3941,12.0
2017-11-27,0.394,15.5
2017-12-02,0.131,17.5
2017-12-04,0.395,17.5
2017-12-07,0.4426,12.5
2017-12-09,0.4325,8.0
2017-12-14,0.3935,23.5
2017-12-16,0.3935,44.0
2017-12-19,0.3931,28.0
2017-12-21,0.3935,50.0
2017-12-26,0.3936,55.5
2017-12-28,0.3939,68.0
2017-12-31,0.394,57.5
2018-01-02,0.3939,43.5
2018-01-07,0.4076,49.0
2018-01-09,0.3262,55.5
2018-01-12,0.1971,69.5
2018-01-14,0.3938,57.0
2018-01-19,0.3937,65.5
2018-01-21,0.3936,66.0
2018-01-24,0.3936,50.0
2018-01-26,0.3937,49.5
2018-01-31,0.3938,51.0
2018-02-05,0.3948,69.5
2018-02-07,0.4074,72.5
2018-02-12,0.2412,45.5
2018-02-14,0.3939,49.5
2018-02-17,0.3941,49.5
2018-02-24,0.3943,57.5
2018-02-26,0.3947,64.0
2018-03-01,0.3939,65.0
2018-03-03,0.3946,51.5
2018-03-08,0.3417,44.5
2018-03-10,0.3122,39.5
2018-03-13,0.3946,44.0
2018-03-15,0.3945,46.0
2018-03-22,0.3944,54.5
2018-04-01,0.3937,39.5
2018-04-03,0.3947,55.5
2018-04-06,0.4067,38.0
2018-04-08,0.3385,22.5
2018-04-13,0.395,3.5
2018-04-27,0.3948,5.0
2018-05-02,0.3938,15.0
2018-05-24,0.4053,72.0
2018-05-25,0.4073,87.0
2018-05-30,0.4076,67.0
2018-05-31,0.4108,74.5
2018-06-01,0.3937,76.0
2018-06-02,0.3939,86.0
2018-06-05,0.4003,49.0
2018-06-06,0.4024,49.0
2018-06-07,0.4081,61.5
2018-06-08,0.33140000000000003,68.5
2018-06-11,0.307,50.5
2018-06-12,0.2884,59.0
2018-06-13,0.4052,48.0
2018-06-14,0.4037,62.5
2018-06-17,0.405,49.0
2018-06-18,0.4066,72.0
2018-06-19,0.4074,85.0
2018-06-20,0.4067,80.5
2018-06-23,0.406,83.5
2018-06-24,0.4074,69.0
2018-06-25,0.4111,67.5
2018-06-26,0.4089,77.5
2018-06-29,0.4073,77.5
2018-06-30,0.4059,57.0
2018-07-01,0.3938,71.5
2018-07-02,0.3937,73.5
2018-07-05,0.4025,48.0
2018-07-06,0.4058,54.0
2018-07-07,0.4082,51.5
2018-07-08,0.3331,59.5
2018-07-11,0.3079,45.5
2018-07-12,0.2921,51.0
2018-07-13,0.4053,52.5
2018-07-14,0.4052,60.0
2018-07-17,0.4059,41.0
