time,sm
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-04,
2015-04-05,
2015-04-06,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-11,
2015-04-12,
2015-04-13,
2015-04-14,71.64241
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-18,
2015-04-19,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,65.19314
2015-04-24,
2015-04-25,
2015-04-26,
2015-04-27,67.32532
2015-04-28,66.0769
2015-04-29,
2015-04-30,
2015-05-01,60.291794
2015-05-02,
2015-05-03,66.387054
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,80.44359
2015-05-08,71.15373
2015-05-09,75.63286
2015-05-10,71.54703
2015-05-11,68.74303
2015-05-12,74.39806
2015-05-13,72.20926
2015-05-14,70.195984
2015-05-15,72.46256
2015-05-16,66.8869
2015-05-17,62.61945
2015-05-18,64.87781
2015-05-19,74.78363
2015-05-20,69.61455
2015-05-21,74.57778
2015-05-22,74.53107
2015-05-23,73.99872
2015-05-24,71.306335
2015-05-25,69.85263
2015-05-26,76.473816
2015-05-27,86.02205
2015-05-28,87.56882
2015-05-29,73.638885
2015-05-30,70.77901
2015-05-31,75.66893
2015-06-01,72.82042
2015-06-02,80.480865
2015-06-03,77.796524
2015-06-04,75.49062
2015-06-05,69.5388
2015-06-06,69.83365
2015-06-07,89.17639
2015-06-08,75.53204
2015-06-09,69.188416
2015-06-10,65.98138
2015-06-11,70.0758
2015-06-12,65.962326
2015-06-13,69.36047
2015-06-14,63.055065
2015-06-15,65.07902
2015-06-16,69.41298
2015-06-17,65.09233
2015-06-18,64.465065
2015-06-19,71.18647
2015-06-20,72.42702
2015-06-21,69.54341
2015-06-22,70.86034
2015-06-23,76.729126
2015-06-24,70.259094
2015-06-25,89.8729
2015-06-26,97.81962
2015-06-27,87.47424
2015-06-28,74.61275
2015-06-29,71.2196
2015-06-30,73.25595
2015-07-01,70.897385
2015-07-02,75.16905
2015-07-03,82.08359
2015-07-04,88.19557
2015-07-05,83.633865
2015-07-06,71.8264
2015-07-07,93.6924
2015-07-08,98.684235
2015-07-09,93.48599
2015-07-10,98.2285
2015-07-11,82.07315
2015-07-12,75.406006
2015-07-13,74.74383
2015-07-14,70.96127
2015-07-15,72.50201
2015-07-16,86.06392
2015-07-17,83.09068
2015-07-18,74.10997
2015-07-19,85.5758
2015-07-20,73.279724
2015-07-21,75.8293
2015-07-22,82.25679
2015-07-23,81.01121
2015-07-24,76.198654
2015-07-25,75.69462
2015-07-26,70.93566
2015-07-27,97.50747
2015-07-28,83.90315
2015-07-29,77.82178
2015-07-30,89.945694
2015-07-31,85.14212
2015-08-01,87.356575
2015-08-02,93.582985
2015-08-03,84.93564
2015-08-04,79.17255
2015-08-05,75.87392
2015-08-06,73.50871
2015-08-07,76.80201
2015-08-08,78.02977
2015-08-09,70.77967
2015-08-10,71.17474
2015-08-11,71.1223
2015-08-12,82.68106
2015-08-13,65.80545
2015-08-14,70.86354
2015-08-15,70.25077
2015-08-16,61.997574
2015-08-17,64.93582
2015-08-18,68.39324
2015-08-19,68.39314
2015-08-20,72.585815
2015-08-21,71.72966
2015-08-22,67.78485
2015-08-23,67.739624
2015-08-24,67.9544
2015-08-25,64.484856
2015-08-26,63.44464
2015-08-27,75.370575
2015-08-28,79.62694
2015-08-29,70.57294
2015-08-30,63.90332
2015-08-31,65.407265
2015-09-01,63.93685
2015-09-02,54.93425
2015-09-03,53.591805
2015-09-04,54.313896
2015-09-05,60.260338
2015-09-06,73.539825
2015-09-07,
2015-09-08,55.693275
2015-09-09,52.15058
2015-09-10,58.741505
2015-09-11,54.35798
2015-09-12,55.557858
2015-09-13,58.540424
2015-09-14,53.354687
2015-09-15,53.7173
2015-09-16,70.65809
2015-09-17,83.63661
2015-09-18,94.38125
2015-09-19,90.32634
2015-09-20,77.10472
2015-09-21,77.6423
2015-09-22,79.36034
2015-09-23,64.77133
2015-09-24,87.67547
2015-09-25,74.6389
2015-09-26,76.0482
2015-09-27,75.11975
2015-09-28,66.29494
2015-09-29,
2015-09-30,
2015-10-01,
2015-10-02,
2015-10-03,
2015-10-04,60.62755
2015-10-05,
2015-10-06,
2015-10-07,
2015-10-08,
2015-10-09,
2015-10-10,18.250053
2015-10-11,41.865273
2015-10-12,47.369736
2015-10-13,39.451866
2015-10-14,
2015-10-15,
2015-10-16,
2015-10-17,
2015-10-18,
2015-10-19,
2015-10-20,
2015-10-21,
2015-10-22,
2015-10-23,
2015-10-24,
2015-10-25,
2015-10-26,
2015-10-27,
2015-10-28,
2015-10-29,
2015-10-30,
2015-10-31,
2015-11-01,
2015-11-02,
2015-11-03,
2015-11-04,
2015-11-05,
2015-11-06,
2015-11-07,
2015-11-08,78.218285
2015-11-09,
2015-11-10,76.81314
2015-11-11,
2015-11-12,
2015-11-13,
2015-11-14,80.033966
2015-11-15,
2015-11-16,
2015-11-17,83.97905
2015-11-18,84.05847
2015-11-19,
2015-11-20,
2015-11-21,
2015-11-22,
2015-11-23,
2015-11-24,
2015-11-25,
2015-11-26,
2015-11-27,
2015-11-28,
2015-11-29,
2015-11-30,
2015-12-01,
2015-12-02,
2015-12-03,
2015-12-04,
2015-12-05,
2015-12-06,
2015-12-07,
2015-12-08,
2015-12-09,
2015-12-10,
2015-12-11,
2015-12-12,
2015-12-13,
2015-12-14,
2015-12-15,
2015-12-16,
2015-12-17,
2015-12-18,
2015-12-19,
2015-12-20,
2015-12-21,
2015-12-22,
2015-12-23,
2015-12-24,
2015-12-25,
2015-12-26,
2015-12-27,
2015-12-28,
2015-12-29,
2015-12-30,
2015-12-31,
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,
2016-01-08,
2016-01-09,
2016-01-10,
2016-01-11,
2016-01-12,
2016-01-13,
2016-01-14,
2016-01-15,
2016-01-16,
2016-01-17,
2016-01-18,
2016-01-19,
2016-01-20,
2016-01-21,
2016-01-22,
2016-01-23,
2016-01-24,
2016-01-25,
2016-01-26,
2016-01-27,
2016-01-28,
2016-01-29,
2016-01-30,
2016-01-31,
2016-02-01,
2016-02-02,
2016-02-03,
2016-02-04,
2016-02-05,
2016-02-06,
2016-02-07,
2016-02-08,
2016-02-09,
2016-02-10,
2016-02-11,
2016-02-12,
2016-02-13,
2016-02-14,
2016-02-15,
2016-02-16,
2016-02-17,
2016-02-18,
2016-02-19,
2016-02-20,
2016-02-21,
2016-02-22,
2016-02-23,
2016-02-24,
2016-02-25,
2016-02-26,
2016-02-27,
2016-02-28,
2016-02-29,
2016-03-01,
2016-03-02,
