network,station,lon,lat,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,No-Timefilter,absolute,-0.015646559964941863,0.5512136633350807,-68.69315313971093,69.2241781602154,8.557894231729204,1453,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2015,absolute,-0.00959605507156817,0.8578239601023716,-67.47527380626781,68.0992590571977,9.197636050013696,351,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2016,absolute,0.12297241681141802,0.018924795673257336,-68.1802813489011,68.6641580632505,8.137311455249769,364,True
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2017,absolute,-0.009374838143256552,0.8593039077179532,-69.38948015000001,69.82470315395234,7.7839074410169795,360,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2018,absolute,0.2327474677240848,4.805704168128398e-06,-69.65474905026456,70.2158434938447,8.858928394380644,378,True
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,winter,absolute,-0.35742114374067235,0.056971757686227635,-65.51938517241379,66.09909493814187,8.735016787069013,29,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,spring,absolute,-0.32551577180827795,6.959230756606571e-09,-70.96227359271523,71.34563168631621,7.386128029767371,302,True
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,summer,absolute,0.11043747600987436,0.0038553625385109635,-70.4105158682284,70.7847937489742,7.2695447763097105,683,True
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,fall,absolute,-0.14074730592298462,0.0031236523639833176,-64.66993252619591,65.38218596094828,9.624451573429617,439,True
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2015-winter,absolute,-0.6594814765398378,0.1070557679959026,-58.36774214285713,58.46494968200327,3.3700175762318447,7,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2016-winter,absolute,-0.7502821236290012,0.24971787637099885,-65.43374825,65.76793475701594,6.621618545244675,4,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2017-winter,absolute,0.006234288517033261,0.9863630238967612,-66.74358900000001,67.09204291958328,6.829022662305639,10,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2018-winter,absolute,0.8895447451163543,0.003096059408214029,-70.2896365,71.11738589150039,10.818945269223196,8,True
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2015-spring,absolute,0.06404587746165694,0.5877352238119831,-67.7954354054054,68.04776342424566,5.854660129640987,74,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2016-spring,absolute,-0.20049068805355974,0.0709130276401953,-69.59924784146342,69.83772519341025,5.766503281264982,82,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2017-spring,absolute,-0.014759125357933231,0.907848979920638,-67.925105546875,68.25499830063758,6.702598709898371,64,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2018-spring,absolute,-0.031085474914519563,0.7815985020894082,-77.55365032926831,77.81187251307634,6.333942263458995,82,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2015-summer,absolute,-0.03073455622218987,0.7042167349582567,-71.17947211612902,71.5463986415369,7.236705593218779,155,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2016-summer,absolute,0.07626741603883129,0.3088732672414216,-71.38146882222222,71.72901168485669,7.052448232239883,180,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2017-summer,absolute,-0.052204776317188326,0.4913841222429031,-69.89579338636364,70.25617675589825,7.106928960302341,176,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2018-summer,absolute,0.2538644542521435,0.0007784487553178938,-69.22814032558139,69.62950885533328,7.4654598315540195,172,True
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2015-fall,absolute,0.05846485869066531,0.5348313681050904,-62.83101315652174,63.776393795798384,10.940392649340453,115,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2016-fall,absolute,-0.14652845891156135,0.1499438843283262,-61.22535415306122,61.67929834188297,7.469394405119994,98,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2017-fall,absolute,0.04957053057557692,0.6070580764152806,-69.67191430000001,70.27732512077024,9.204715308139653,110,False
ICOS,Degero,19.556539,64.182029,ASCAT 12.5 TS,Y2018-fall,absolute,-0.18580905966780314,0.045827564539160696,-64.65981539655172,65.17827208221361,8.204597766308726,116,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,No-Timefilter,absolute,0.33398257463999426,4.5979946619020306e-46,-66.78535446596858,67.91228510724245,12.320507186894355,1719,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2015,absolute,0.2705942504059777,2.3414570465749148e-07,-65.91503810169492,67.22367380220287,13.199623915744152,354,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2016,absolute,0.3155204105410283,5.066125890999271e-12,-64.8437509343545,65.95062723360255,12.03217342249524,457,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2017,absolute,0.3623576129157662,7.109110731007986e-16,-70.95724220860214,71.84555282984944,11.2629143464938,465,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2018,absolute,0.3298676564267128,1.051018535918814e-12,-65.10471565462754,66.18403995994271,11.903913009989063,443,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,winter,absolute,-0.036246777565758725,0.5539058515122174,-74.94585412639404,76.00584617145407,12.649411112933402,269,False
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,spring,absolute,0.15622479618935642,0.000907257686115655,-67.28610110267857,67.97052891237975,9.62150710797276,448,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,summer,absolute,0.31191481417686995,5.416273701164829e-13,-61.60903707632094,62.537597157156064,10.736741066042619,511,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,fall,absolute,0.4271432694123865,3.4055440024137834e-23,-67.24480310997964,68.53020614070381,13.210814069822982,491,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2015-winter,absolute,0.11399183365168508,0.5143860003934386,-83.24237579999998,83.62678518250898,8.009124242579704,35,False
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2016-winter,absolute,-0.2376428413484414,0.03742350688430975,-73.4684743246753,74.22953095472073,10.602195346359439,77,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2017-winter,absolute,0.2114939068027748,0.058044645193147386,-75.16450597530864,76.37393498510407,13.537909240229606,81,False
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2018-winter,absolute,-0.2579627993647259,0.02446030672511155,-72.3888697368421,73.66975299091219,13.6778669376669,76,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2015-spring,absolute,0.10817837928450363,0.33032179144287593,-65.5967954939759,66.50887187040881,10.976814583291409,83,False
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2016-spring,absolute,0.1915555553698461,0.030974721261851863,-66.35017388188976,67.11684143098765,10.115573612768369,127,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2017-spring,absolute,0.3871640798973449,5.826305963441106e-06,-67.99152539534886,68.60243123659919,9.134880731895345,129,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2018-spring,absolute,0.286348479916664,0.0025396683860776093,-68.82807714678898,69.29574100075996,8.037133638310777,109,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2015-summer,absolute,0.19343506564573826,0.04009089642218453,-63.43995764601771,64.21794909937314,9.965779467816823,113,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2016-summer,absolute,0.03133871109247965,0.7192499129760473,-60.03111473880598,60.806946722026176,9.682460063002713,134,False
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2017-summer,absolute,0.1556284536484598,0.07365209257840143,-66.41589681203007,67.08892098770372,9.479027901009983,133,False
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2018-summer,absolute,0.3551954162428964,3.140722963048133e-05,-56.7635044351145,57.84979541405222,11.158108876168647,131,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2015-fall,absolute,0.30609553629320674,0.0005750205287319536,-63.47309833333333,65.13357460389086,14.613292874900349,123,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2016-fall,absolute,0.4927419617693644,1.2519043347235532e-08,-63.07462349579829,64.55320646935222,13.737115284443936,119,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2017-fall,absolute,0.2469877222327693,0.006095300146898792,-76.25058681147544,76.92999925473073,10.201607532076595,122,True
ICOS,Hyltemossa,13.419064,56.097581000000005,ASCAT 12.5 TS,Y2018-fall,absolute,0.3391354153560749,9.606950473106424e-05,-66.15397988188978,66.77048116906556,9.05251906018777,127,True
ICOS,Lanna,13.101768,58.34062900000001,ASCAT 12.5 TS,No-Timefilter,absolute,0.2886941406130087,1.1669574098510694e-30,-43.20859612464263,49.295150490139605,23.728233874079837,1525,True
ICOS,Lanna,13.101768,58.34062900000001,ASCAT 12.5 TS,Y2015,absolute,0.35730717431623205,6.005560331563078e-12,-41.4585420426934,47.556872701230546,23.29904360301665,349,True
