date,sm
01/01/2015 08:30,62.489998
01/02/2015 08:30,55.26
01/03/2015 08:30,61.739998
01/04/2015 08:30,61.92
01/05/2015 08:30,64.939995
01/06/2015 08:30,59.949997
01/07/2015 08:30,62.25
01/08/2015 08:30,63.1
01/09/2015 08:30,72.08
01/10/2015 08:30,65.63
01/11/2015 08:30,75.15999599999998
01/12/2015 08:30,86.1
01/13/2015 08:30,83.22
01/14/2015 08:30,80.22
01/15/2015 08:30,74.71
01/16/2015 08:30,66.76
01/17/2015 08:30,67.97
01/18/2015 08:30,66.5
01/19/2015 08:30,75.53
01/20/2015 08:30,78.00999499999998
01/21/2015 08:30,74.59
01/22/2015 08:30,73.86
01/23/2015 08:30,83.1
01/24/2015 08:30,81.02
01/25/2015 08:30,72.299995
01/26/2015 08:30,66.13
01/27/2015 08:30,68.06
01/28/2015 08:30,72.77
01/29/2015 08:30,64.28
01/30/2015 08:30,64.65
01/31/2015 08:30,72.36999499999997
02/01/2015 08:30,66.939995
02/02/2015 08:30,75.189995
02/03/2015 08:30,67.14
02/04/2015 08:30,71.57
02/05/2015 08:30,72.02
02/06/2015 08:30,65.93
02/07/2015 08:30,64.14
02/08/2015 08:30,60.6
02/09/2015 08:30,58.62
02/10/2015 08:30,71.40999599999998
02/11/2015 08:30,61.079998
02/12/2015 08:30,53.42
02/13/2015 08:30,58.57
02/14/2015 08:30,59.76
02/15/2015 08:30,67.72
02/16/2015 08:30,71.86
02/17/2015 08:30,60.649998
02/18/2015 08:30,65.83
02/19/2015 08:30,73.07
02/20/2015 08:30,74.96
02/21/2015 08:30,72.729996
02/22/2015 08:30,69.92
02/23/2015 08:30,77.24
02/24/2015 08:30,66.40999599999999
02/25/2015 08:30,73.71
02/26/2015 08:30,77.07
02/27/2015 08:30,70.979996
02/28/2015 08:30,69.09
03/01/2015 08:30,67.27
03/02/2015 08:30,78.4
03/03/2015 08:30,83.24
03/04/2015 08:30,74.5
03/05/2015 08:30,73.82
03/06/2015 08:30,73.47
03/07/2015 08:30,80.34
03/08/2015 08:30,85.38
03/09/2015 08:30,74.92
03/10/2015 08:30,70.14
03/11/2015 08:30,86.11
03/12/2015 08:30,83.82
03/13/2015 08:30,88.54
03/14/2015 08:30,81.82
03/15/2015 08:30,79.67
03/16/2015 08:30,85.24
03/17/2015 08:30,85.50999499999998
03/18/2015 08:30,80.229996
03/19/2015 08:30,74.14
03/20/2015 08:30,78.1
03/21/2015 08:30,88.799995
03/22/2015 08:30,81.82
03/23/2015 08:30,84.63
03/24/2015 08:30,81.43
03/25/2015 08:30,78.85
03/26/2015 08:30,89.67
03/27/2015 08:30,80.68
03/28/2015 08:30,83.79
03/29/2015 08:30,76.56
03/30/2015 08:30,86.479996
03/31/2015 08:30,81.13
04/01/2015 08:30,90.65
04/02/2015 08:30,84.86999499999997
04/03/2015 08:30,80.64
04/04/2015 08:30,73.53
04/05/2015 08:30,80.79
04/06/2015 08:30,79.82
04/07/2015 08:30,41.62
04/08/2015 08:30,50.8
04/09/2015 08:30,52.16
04/10/2015 08:30,61.57
04/11/2015 08:30,64.51
04/12/2015 08:30,52.59
04/13/2015 08:30,62.359997
04/14/2015 08:30,35.25
04/15/2015 08:30,38.32
04/16/2015 08:30,37.17
04/17/2015 08:30,32.059998
04/18/2015 08:30,28.23
04/19/2015 08:30,29.34
04/20/2015 08:30,29.24
04/21/2015 08:30,43.02
04/22/2015 08:30,20.66
04/23/2015 08:30,30.17
04/24/2015 08:30,27.93
04/25/2015 08:30,25.039999
04/26/2015 08:30,25.59
04/27/2015 08:30,37.13
04/28/2015 08:30,24.84
04/29/2015 08:30,27.949999
04/30/2015 08:30,34.71
05/01/2015 08:30,40.86
05/02/2015 08:30,31.05
05/03/2015 08:30,25.24
05/04/2015 08:30,31.66
05/05/2015 08:30,30.07
05/06/2015 08:30,30.42
05/07/2015 08:30,50.23
05/08/2015 08:30,44.719997
05/09/2015 08:30,55.07
05/10/2015 08:30,49.2
05/11/2015 08:30,50.11
05/12/2015 08:30,67.33
05/13/2015 08:30,58.789997
05/14/2015 08:30,51.82
05/15/2015 08:30,50.829998
05/16/2015 08:30,49.37
05/17/2015 08:30,49.17
05/18/2015 08:30,62.829998
05/19/2015 08:30,70.33
05/20/2015 08:30,55.969997
05/21/2015 08:30,59.41
05/22/2015 08:30,68.65
05/23/2015 08:30,66.72
05/24/2015 08:30,67.79
05/25/2015 08:30,70.18
05/26/2015 08:30,60.949997
05/27/2015 08:30,83.229996
05/28/2015 08:30,76.47
05/29/2015 08:30,76.36
05/30/2015 08:30,70.67
05/31/2015 08:30,74.83
06/01/2015 08:30,66.79
06/02/2015 08:30,78.1
06/03/2015 08:30,87.17
06/04/2015 08:30,71.46
06/05/2015 08:30,66.76
06/06/2015 08:30,66.35
06/07/2015 08:30,79.7
06/08/2015 08:30,73.61
06/09/2015 08:30,65.04
06/10/2015 08:30,63.12
06/11/2015 08:30,64.61
06/12/2015 08:30,66.17
06/13/2015 08:30,65.26
06/14/2015 08:30,67.99
06/15/2015 08:30,61.059998
06/16/2015 08:30,60.46
06/17/2015 08:30,62.699997
06/18/2015 08:30,68.61999499999999
06/19/2015 08:30,70.59
06/20/2015 08:30,72.18
06/21/2015 08:30,70.77
06/22/2015 08:30,76.40999599999998
06/23/2015 08:30,73.24
06/24/2015 08:30,72.729996
06/25/2015 08:30,76.72
06/26/2015 08:30,79.53
06/27/2015 08:30,77.939995
06/28/2015 08:30,74.049995
06/29/2015 08:30,73.35
06/30/2015 08:30,62.87
07/01/2015 08:30,76.38
07/02/2015 08:30,78.36999499999997
07/03/2015 08:30,79.90999599999998
07/04/2015 08:30,74.75
07/05/2015 08:30,76.049995
07/06/2015 08:30,75.78
07/07/2015 08:30,100.0
07/08/2015 08:30,94.31
07/09/2015 08:30,100.0
07/10/2015 08:30,88.54
07/11/2015 08:30,83.0
07/12/2015 08:30,79.479996
07/13/2015 08:30,76.549995
07/14/2015 08:30,76.35
07/15/2015 08:30,83.549995
07/16/2015 08:30,82.09
07/17/2015 08:30,72.01
07/18/2015 08:30,70.65999599999998
07/19/2015 08:30,78.2
07/20/2015 08:30,75.52
07/21/2015 08:30,91.52
07/22/2015 08:30,84.82
