date,sm
01/01/2015 08:30,66.13
01/02/2015 08:30,61.26
01/03/2015 08:30,66.26
01/04/2015 08:30,66.22
01/05/2015 08:30,72.479996
01/06/2015 08:30,66.189995
01/07/2015 08:30,67.28
01/08/2015 08:30,62.739998
01/09/2015 08:30,72.58
01/10/2015 08:30,70.77
01/11/2015 08:30,79.59
01/12/2015 08:30,89.56
01/13/2015 08:30,88.7
01/14/2015 08:30,84.81
01/15/2015 08:30,79.72
01/16/2015 08:30,69.99
01/17/2015 08:30,73.01
01/18/2015 08:30,69.64
01/19/2015 08:30,79.36999499999997
01/20/2015 08:30,83.08
01/21/2015 08:30,78.42
01/22/2015 08:30,77.46
01/23/2015 08:30,83.52
01/24/2015 08:30,87.25999499999998
01/25/2015 08:30,74.96
01/26/2015 08:30,69.11
01/27/2015 08:30,77.09
01/28/2015 08:30,75.84
01/29/2015 08:30,74.01
01/30/2015 08:30,68.11
01/31/2015 08:30,76.96
02/01/2015 08:30,73.24
02/02/2015 08:30,77.189995
02/03/2015 08:30,72.689995
02/04/2015 08:30,71.78
02/05/2015 08:30,74.29
02/06/2015 08:30,67.979996
02/07/2015 08:30,69.549995
02/08/2015 08:30,64.84
02/09/2015 08:30,60.789997
02/10/2015 08:30,70.46
02/11/2015 08:30,64.90999599999999
02/12/2015 08:30,61.64
02/13/2015 08:30,63.48
02/14/2015 08:30,67.75
02/15/2015 08:30,73.96
02/16/2015 08:30,74.439995
02/17/2015 08:30,68.39
02/18/2015 08:30,67.5
02/19/2015 08:30,73.1
02/20/2015 08:30,76.93
02/21/2015 08:30,70.06
02/22/2015 08:30,77.67
02/23/2015 08:30,80.5
02/24/2015 08:30,73.729996
02/25/2015 08:30,79.6
02/26/2015 08:30,82.72
02/27/2015 08:30,78.99
02/28/2015 08:30,73.13
03/01/2015 08:30,77.08
03/02/2015 08:30,80.07
03/03/2015 08:30,73.26
03/04/2015 08:30,73.75
03/05/2015 08:30,72.02
03/06/2015 08:30,81.06
03/07/2015 08:30,79.40999599999998
03/08/2015 08:30,83.17
03/09/2015 08:30,77.11999499999997
03/10/2015 08:30,72.06
03/11/2015 08:30,80.63
03/12/2015 08:30,87.86
03/13/2015 08:30,92.02
03/14/2015 08:30,82.72
03/15/2015 08:30,82.35
03/16/2015 08:30,88.63
03/17/2015 08:30,89.61999499999997
03/18/2015 08:30,85.39
03/19/2015 08:30,74.86999499999997
03/20/2015 08:30,76.81
03/21/2015 08:30,88.61
03/22/2015 08:30,91.82
03/23/2015 08:30,94.52
03/24/2015 08:30,85.77
03/25/2015 08:30,86.4
03/26/2015 08:30,99.24
03/27/2015 08:30,84.57
03/28/2015 08:30,83.43
03/29/2015 08:30,83.95
03/30/2015 08:30,94.6
03/31/2015 08:30,81.75
04/01/2015 08:30,95.549995
04/02/2015 08:30,81.0
04/03/2015 08:30,84.13
04/04/2015 08:30,73.65999599999998
04/05/2015 08:30,75.25999499999998
