date,sm
01/01/2015 08:30,61.859997
01/02/2015 08:30,58.1
01/03/2015 08:30,58.82
01/04/2015 08:30,36.11
01/05/2015 08:30,28.25
01/06/2015 08:30,44.84
01/07/2015 08:30,61.539997
01/08/2015 08:30,53.92
01/09/2015 08:30,52.12
01/10/2015 08:30,43.51
01/11/2015 08:30,48.059998
01/12/2015 08:30,63.82
01/13/2015 08:30,59.18
01/14/2015 08:30,56.07
01/15/2015 08:30,59.92
01/16/2015 08:30,63.809998
01/17/2015 08:30,80.95
01/18/2015 08:30,60.309998
01/19/2015 08:30,67.08
01/20/2015 08:30,55.48
01/21/2015 08:30,56.07
01/22/2015 08:30,67.28
01/23/2015 08:30,70.54
01/24/2015 08:30,60.109997
01/25/2015 08:30,56.75
01/26/2015 08:30,59.55
01/27/2015 08:30,60.94
01/28/2015 08:30,63.41
01/29/2015 08:30,80.31
01/30/2015 08:30,58.53
01/31/2015 08:30,68.52
02/01/2015 08:30,66.32
02/02/2015 08:30,80.72
02/03/2015 08:30,78.38
02/04/2015 08:30,73.4
02/05/2015 08:30,79.439995
02/06/2015 08:30,68.72
02/07/2015 08:30,75.729996
02/08/2015 08:30,65.85
02/09/2015 08:30,78.229996
02/10/2015 08:30,73.46
02/11/2015 08:30,69.5
02/12/2015 08:30,65.189995
02/13/2015 08:30,58.14
02/14/2015 08:30,55.039997
02/15/2015 08:30,58.379997
02/16/2015 08:30,61.059998
02/17/2015 08:30,60.12
02/18/2015 08:30,63.85
02/19/2015 08:30,74.689995
02/20/2015 08:30,69.39
02/21/2015 08:30,64.229996
02/22/2015 08:30,60.719997
02/23/2015 08:30,65.7
02/24/2015 08:30,74.61
02/25/2015 08:30,78.39
02/26/2015 08:30,74.81
02/27/2015 08:30,64.06
02/28/2015 08:30,65.35
03/01/2015 08:30,70.75
03/02/2015 08:30,77.45
03/03/2015 08:30,72.979996
03/04/2015 08:30,60.84
03/05/2015 08:30,65.38
03/06/2015 08:30,76.89
03/07/2015 08:30,79.29
03/08/2015 08:30,79.75999499999998
03/09/2015 08:30,65.52
03/10/2015 08:30,70.74
03/11/2015 08:30,78.1
03/12/2015 08:30,83.799995
03/13/2015 08:30,85.02
03/14/2015 08:30,83.7
03/15/2015 08:30,80.89
03/16/2015 08:30,88.11999499999997
03/17/2015 08:30,87.9
03/18/2015 08:30,81.7
03/19/2015 08:30,80.61999499999997
03/20/2015 08:30,77.88
03/21/2015 08:30,80.1
03/22/2015 08:30,80.189995
03/23/2015 08:30,77.06
03/24/2015 08:30,55.34
03/25/2015 08:30,78.049995
03/26/2015 08:30,90.14
03/27/2015 08:30,77.89
03/28/2015 08:30,86.479996
03/29/2015 08:30,77.979996
03/30/2015 08:30,83.32
03/31/2015 08:30,59.789997
04/01/2015 08:30,81.35
04/02/2015 08:30,70.15
04/03/2015 08:30,72.89
04/04/2015 08:30,70.36
04/05/2015 08:30,65.58
04/06/2015 08:30,63.87
04/07/2015 08:30,47.629997
04/08/2015 08:30,47.989998
04/09/2015 08:30,57.76
