date,sm
01/01/2015 08:30,62.289997
01/02/2015 08:30,45.55
01/03/2015 08:30,44.719997
01/04/2015 08:30,44.879997
01/05/2015 08:30,42.66
01/06/2015 08:30,42.829998
01/07/2015 08:30,40.01
01/08/2015 08:30,45.399998
01/09/2015 08:30,45.2
01/10/2015 08:30,44.239998
01/11/2015 08:30,46.52
01/12/2015 08:30,49.42
01/13/2015 08:30,53.94
01/14/2015 08:30,48.92
01/15/2015 08:30,44.5
01/16/2015 08:30,46.57
01/17/2015 08:30,47.27
01/18/2015 08:30,47.76
01/19/2015 08:30,52.289997
01/20/2015 08:30,49.77
01/21/2015 08:30,50.6
01/22/2015 08:30,50.77
01/23/2015 08:30,53.68
01/24/2015 08:30,51.77
01/25/2015 08:30,45.739998
01/26/2015 08:30,43.14
01/27/2015 08:30,44.16
01/28/2015 08:30,45.35
01/29/2015 08:30,50.989998
01/30/2015 08:30,40.309998
01/31/2015 08:30,40.079998
02/01/2015 08:30,41.45
02/02/2015 08:30,42.68
02/03/2015 08:30,40.82
02/04/2015 08:30,39.8
02/05/2015 08:30,39.61
02/06/2015 08:30,41.309998
02/07/2015 08:30,44.43
02/08/2015 08:30,38.25
02/09/2015 08:30,37.76
02/10/2015 08:30,52.84
02/11/2015 08:30,43.71
02/12/2015 08:30,41.91
02/13/2015 08:30,39.559998
02/14/2015 08:30,38.39
02/15/2015 08:30,38.809998
02/16/2015 08:30,40.03
02/17/2015 08:30,39.84
02/18/2015 08:30,37.12
02/19/2015 08:30,39.12
02/20/2015 08:30,43.86
02/21/2015 08:30,40.27
02/22/2015 08:30,38.42
02/23/2015 08:30,38.54
02/24/2015 08:30,40.66
02/25/2015 08:30,39.64
02/26/2015 08:30,40.54
02/27/2015 08:30,34.719997
02/28/2015 08:30,41.53
03/01/2015 08:30,41.26
03/02/2015 08:30,42.02
03/03/2015 08:30,47.19
03/04/2015 08:30,39.36
03/05/2015 08:30,34.02
03/06/2015 08:30,43.3
03/07/2015 08:30,43.059998
03/08/2015 08:30,51.67
03/09/2015 08:30,39.219997
03/10/2015 08:30,35.51
03/11/2015 08:30,51.469997
03/12/2015 08:30,44.969997
03/13/2015 08:30,45.94
03/14/2015 08:30,43.25
03/15/2015 08:30,48.01
03/16/2015 08:30,43.739998
03/17/2015 08:30,50.14
03/18/2015 08:30,52.93
03/19/2015 08:30,43.8
03/20/2015 08:30,37.45
03/21/2015 08:30,39.739998
03/22/2015 08:30,36.89
03/23/2015 08:30,48.27
03/24/2015 08:30,36.01
03/25/2015 08:30,32.98
03/26/2015 08:30,41.219997
03/27/2015 08:30,38.57
03/28/2015 08:30,41.28
03/29/2015 08:30,38.32
03/30/2015 08:30,41.94
03/31/2015 08:30,39.23
04/01/2015 08:30,43.239998
04/02/2015 08:30,40.45
04/03/2015 08:30,44.399998
04/04/2015 08:30,40.67
04/05/2015 08:30,43.78
04/06/2015 08:30,50.11
04/07/2015 08:30,33.46
04/08/2015 08:30,45.71
04/09/2015 08:30,51.57
04/10/2015 08:30,47.8
04/11/2015 08:30,52.98
04/12/2015 08:30,47.489998
04/13/2015 08:30,40.52
04/14/2015 08:30,43.93
04/15/2015 08:30,43.86
04/16/2015 08:30,41.27
04/17/2015 08:30,46.879997
04/18/2015 08:30,45.1
04/19/2015 08:30,25.06
04/20/2015 08:30,29.16
04/21/2015 08:30,18.6
04/22/2015 08:30,21.35
04/23/2015 08:30,26.75
04/24/2015 08:30,33.41
04/25/2015 08:30,39.03
04/26/2015 08:30,46.25
04/27/2015 08:30,50.309998
04/28/2015 08:30,36.44
04/29/2015 08:30,57.469997
04/30/2015 08:30,53.87
05/01/2015 08:30,51.8
05/02/2015 08:30,49.82
05/03/2015 08:30,34.63
05/04/2015 08:30,38.59
05/05/2015 08:30,31.359999
05/06/2015 08:30,9.73
05/07/2015 08:30,11.88
05/08/2015 08:30,19.02
05/09/2015 08:30,20.22
05/10/2015 08:30,14.11
05/11/2015 08:30,6.67
05/12/2015 08:30,13.809999
05/13/2015 08:30,14.15
05/14/2015 08:30,18.949999
05/15/2015 08:30,17.109999
05/16/2015 08:30,15.15
05/17/2015 08:30,16.01
05/18/2015 08:30,24.55
05/19/2015 08:30,31.84
05/20/2015 08:30,38.57
05/21/2015 08:30,39.11
05/22/2015 08:30,40.61
05/23/2015 08:30,47.32
05/24/2015 08:30,48.98
05/25/2015 08:30,66.59
05/26/2015 08:30,61.579998
05/27/2015 08:30,61.48
05/28/2015 08:30,72.229996
05/29/2015 08:30,77.0
05/30/2015 08:30,74.45
05/31/2015 08:30,77.02
06/01/2015 08:30,74.83
06/02/2015 08:30,83.61
06/03/2015 08:30,86.07
06/04/2015 08:30,78.40999599999998
06/05/2015 08:30,77.85
06/06/2015 08:30,80.21
06/07/2015 08:30,84.549995
06/08/2015 08:30,81.18
06/09/2015 08:30,81.03
06/10/2015 08:30,78.13
06/11/2015 08:30,73.75
06/12/2015 08:30,84.14
06/13/2015 08:30,80.40999599999998
06/14/2015 08:30,78.25
06/15/2015 08:30,74.61999499999997
06/16/2015 08:30,77.58
06/17/2015 08:30,78.63
06/18/2015 08:30,77.06
06/19/2015 08:30,77.6
06/20/2015 08:30,80.17
06/21/2015 08:30,80.64
06/22/2015 08:30,85.46
06/23/2015 08:30,86.83
06/24/2015 08:30,98.03
06/25/2015 08:30,100.0
06/26/2015 08:30,85.95
06/27/2015 08:30,81.42
06/28/2015 08:30,82.72
06/29/2015 08:30,79.22
06/30/2015 08:30,79.299995
07/01/2015 08:30,83.07
07/02/2015 08:30,86.06
07/03/2015 08:30,83.46
07/04/2015 08:30,87.229996
07/05/2015 08:30,80.40999599999998
07/06/2015 08:30,92.74
07/07/2015 08:30,79.92
07/08/2015 08:30,75.0
07/09/2015 08:30,85.299995
07/10/2015 08:30,93.939995
07/11/2015 08:30,85.64
07/12/2015 08:30,85.58
07/13/2015 08:30,83.47
07/14/2015 08:30,80.439995
07/15/2015 08:30,78.14
07/16/2015 08:30,77.52
07/17/2015 08:30,76.99
