date,sm
01/01/2015 08:30,69.38
01/02/2015 08:30,75.01
01/03/2015 08:30,77.21
01/04/2015 08:30,79.00999499999998
01/05/2015 08:30,100.0
01/06/2015 08:30,92.829994
01/07/2015 08:30,76.81
01/08/2015 08:30,71.95
01/09/2015 08:30,75.439995
01/10/2015 08:30,98.32
01/11/2015 08:30,91.57
01/12/2015 08:30,100.0
01/13/2015 08:30,97.77
01/14/2015 08:30,91.479996
01/15/2015 08:30,94.78
01/16/2015 08:30,68.03
01/17/2015 08:30,75.6
01/18/2015 08:30,75.61999499999997
01/19/2015 08:30,100.0
01/20/2015 08:30,100.0
01/21/2015 08:30,100.0
01/22/2015 08:30,100.0
01/23/2015 08:30,94.03
01/24/2015 08:30,100.0
01/25/2015 08:30,87.90999599999998
01/26/2015 08:30,75.99
01/27/2015 08:30,86.47
01/28/2015 08:30,81.939995
01/29/2015 08:30,82.2
01/30/2015 08:30,74.13
01/31/2015 08:30,84.439995
02/01/2015 08:30,81.75
02/02/2015 08:30,81.75999499999998
02/03/2015 08:30,84.58
02/04/2015 08:30,76.049995
02/05/2015 08:30,80.11999499999997
02/06/2015 08:30,71.45
02/07/2015 08:30,75.88
02/08/2015 08:30,71.61
02/09/2015 08:30,68.15999599999999
02/10/2015 08:30,71.479996
02/11/2015 08:30,65.07
02/12/2015 08:30,62.27
02/13/2015 08:30,59.68
02/14/2015 08:30,72.35
02/15/2015 08:30,71.64
02/16/2015 08:30,70.25
02/17/2015 08:30,62.25
02/18/2015 08:30,58.32
02/19/2015 08:30,57.649998
02/20/2015 08:30,58.239998
02/21/2015 08:30,59.59
02/22/2015 08:30,59.289997
02/23/2015 08:30,64.46
02/24/2015 08:30,61.34
02/25/2015 08:30,56.809998
02/26/2015 08:30,67.52
02/27/2015 08:30,69.75
02/28/2015 08:30,60.92
03/01/2015 08:30,59.379997
03/02/2015 08:30,63.89
03/03/2015 08:30,54.969997
03/04/2015 08:30,64.31
03/05/2015 08:30,56.59
03/06/2015 08:30,58.77
03/07/2015 08:30,59.5
03/08/2015 08:30,74.95
03/09/2015 08:30,77.439995
03/10/2015 08:30,62.26
03/11/2015 08:30,58.69
03/12/2015 08:30,69.15999599999999
03/13/2015 08:30,69.61
03/14/2015 08:30,77.4
03/15/2015 08:30,66.40999599999999
03/16/2015 08:30,71.86999499999997
03/17/2015 08:30,72.06
03/18/2015 08:30,74.57
03/19/2015 08:30,72.85
03/20/2015 08:30,67.65
03/21/2015 08:30,66.40999599999999
03/22/2015 08:30,73.11
03/23/2015 08:30,75.03
03/24/2015 08:30,68.97
03/25/2015 08:30,70.93
03/26/2015 08:30,65.06
03/27/2015 08:30,71.40999599999998
03/28/2015 08:30,69.82
03/29/2015 08:30,68.299995
03/30/2015 08:30,72.63
03/31/2015 08:30,63.59
04/01/2015 08:30,68.22
04/02/2015 08:30,54.12
04/03/2015 08:30,61.02
04/04/2015 08:30,61.539997
04/05/2015 08:30,50.07
04/06/2015 08:30,47.12
04/07/2015 08:30,41.879997
04/08/2015 08:30,32.89
04/09/2015 08:30,38.79
04/10/2015 08:30,45.55
04/11/2015 08:30,57.66
04/12/2015 08:30,52.19
04/13/2015 08:30,41.92
04/14/2015 08:30,37.18
04/15/2015 08:30,25.46
04/16/2015 08:30,21.47
04/17/2015 08:30,21.74
04/18/2015 08:30,19.91
04/19/2015 08:30,24.619999
04/20/2015 08:30,18.949999
04/21/2015 08:30,33.64
04/22/2015 08:30,18.56
04/23/2015 08:30,24.269999
04/24/2015 08:30,28.13
04/25/2015 08:30,41.0
04/26/2015 08:30,43.41
04/27/2015 08:30,40.19
04/28/2015 08:30,20.84
04/29/2015 08:30,40.1
04/30/2015 08:30,44.52
05/01/2015 08:30,48.989998
05/02/2015 08:30,37.5
05/03/2015 08:30,26.75
05/04/2015 08:30,29.63
05/05/2015 08:30,35.05
05/06/2015 08:30,48.51
05/07/2015 08:30,58.01
05/08/2015 08:30,59.75
05/09/2015 08:30,85.229996
05/10/2015 08:30,79.93
05/11/2015 08:30,79.67
05/12/2015 08:30,85.43
05/13/2015 08:30,74.979996
05/14/2015 08:30,86.979996
05/15/2015 08:30,82.11
05/16/2015 08:30,75.40999599999998
05/17/2015 08:30,72.28
05/18/2015 08:30,77.08
05/19/2015 08:30,78.18
05/20/2015 08:30,79.81
05/21/2015 08:30,82.65
05/22/2015 08:30,85.9
05/23/2015 08:30,85.39
05/24/2015 08:30,81.11999499999997
05/25/2015 08:30,83.5
05/26/2015 08:30,84.18
05/27/2015 08:30,84.82
05/28/2015 08:30,88.0
05/29/2015 08:30,93.89
05/30/2015 08:30,89.799995
05/31/2015 08:30,85.7
06/01/2015 08:30,86.99
06/02/2015 08:30,84.65999599999998
06/03/2015 08:30,82.53
06/04/2015 08:30,79.64
06/05/2015 08:30,78.81
06/06/2015 08:30,83.03
06/07/2015 08:30,86.86999499999997
06/08/2015 08:30,84.479996
06/09/2015 08:30,79.63
06/10/2015 08:30,83.27
06/11/2015 08:30,71.82
06/12/2015 08:30,80.36
06/13/2015 08:30,83.00999499999998
06/14/2015 08:30,77.14
06/15/2015 08:30,69.29
06/16/2015 08:30,75.45
06/17/2015 08:30,77.6
06/18/2015 08:30,80.77
06/19/2015 08:30,77.6
06/20/2015 08:30,79.71
06/21/2015 08:30,82.29
06/22/2015 08:30,88.799995
06/23/2015 08:30,90.799995
06/24/2015 08:30,96.32
06/25/2015 08:30,94.68
06/26/2015 08:30,78.63
06/27/2015 08:30,81.17
06/28/2015 08:30,83.06
06/29/2015 08:30,78.549995
06/30/2015 08:30,80.17
07/01/2015 08:30,80.46
07/02/2015 08:30,83.799995
07/03/2015 08:30,87.58
07/04/2015 08:30,73.42
07/05/2015 08:30,69.36
07/06/2015 08:30,80.25999499999998
07/07/2015 08:30,100.0
07/08/2015 08:30,93.07
07/09/2015 08:30,88.96
07/10/2015 08:30,77.06
07/11/2015 08:30,75.75999499999998
07/12/2015 08:30,80.06
07/13/2015 08:30,73.42
07/14/2015 08:30,72.54
07/15/2015 08:30,73.36999499999997
07/16/2015 08:30,78.25
07/17/2015 08:30,85.33
07/18/2015 08:30,76.2
07/19/2015 08:30,82.75
07/20/2015 08:30,80.36
07/21/2015 08:30,76.689995
07/22/2015 08:30,82.40999599999998
07/23/2015 08:30,77.75
07/24/2015 08:30,76.40999599999998
07/25/2015 08:30,72.799995
07/26/2015 08:30,75.06
07/27/2015 08:30,93.68
07/28/2015 08:30,89.829994
07/29/2015 08:30,83.729996
07/30/2015 08:30,100.0
07/31/2015 08:30,92.86
08/01/2015 08:30,78.65
08/02/2015 08:30,83.02
08/03/2015 08:30,78.95
08/04/2015 08:30,78.729996
08/05/2015 08:30,84.39
08/06/2015 08:30,85.67
08/07/2015 08:30,91.56
08/08/2015 08:30,82.96
08/09/2015 08:30,84.61999499999997
08/10/2015 08:30,84.56
08/11/2015 08:30,79.15
08/12/2015 08:30,83.06
08/13/2015 08:30,72.979996
08/14/2015 08:30,75.049995
08/15/2015 08:30,68.36999499999999
08/16/2015 08:30,70.5
08/17/2015 08:30,75.9
08/18/2015 08:30,76.65
08/19/2015 08:30,79.33
08/20/2015 08:30,80.92
08/21/2015 08:30,68.59
08/22/2015 08:30,74.01
08/23/2015 08:30,69.67
08/24/2015 08:30,81.28
08/25/2015 08:30,97.6
08/26/2015 08:30,71.95
08/27/2015 08:30,65.42
08/28/2015 08:30,74.799995
08/29/2015 08:30,92.97
08/30/2015 08:30,80.83
08/31/2015 08:30,73.99
09/01/2015 08:30,66.84
09/02/2015 08:30,67.52
09/03/2015 08:30,69.729996
09/04/2015 08:30,69.939995
09/05/2015 08:30,61.579998
09/06/2015 08:30,62.64
09/07/2015 08:30,64.65999599999999
09/08/2015 08:30,67.31
09/09/2015 08:30,68.25
09/10/2015 08:30,66.11
09/11/2015 08:30,66.68
09/12/2015 08:30,68.549995
09/13/2015 08:30,69.93
09/14/2015 08:30,62.01
09/15/2015 08:30,64.7
09/16/2015 08:30,62.559998
09/17/2015 08:30,80.56
09/18/2015 08:30,100.0
09/19/2015 08:30,90.21
09/20/2015 08:30,92.09
09/21/2015 08:30,85.79
09/22/2015 08:30,80.88
09/23/2015 08:30,94.92
09/24/2015 08:30,87.229996
09/25/2015 08:30,76.90999599999998
09/26/2015 08:30,86.799995
09/27/2015 08:30,82.39
09/28/2015 08:30,74.36
09/29/2015 08:30,74.86
09/30/2015 08:30,74.979996
10/01/2015 08:30,76.00999499999998
10/02/2015 08:30,80.33
10/03/2015 08:30,68.45
10/04/2015 08:30,75.43
10/05/2015 08:30,51.76
10/06/2015 08:30,37.2
10/07/2015 08:30,17.63
10/08/2015 08:30,34.54
10/09/2015 08:30,15.889999
10/10/2015 08:30,9.67
10/11/2015 08:30,20.84
10/12/2015 08:30,53.579998
10/13/2015 08:30,52.17
10/14/2015 08:30,43.3
10/15/2015 08:30,52.94
10/16/2015 08:30,48.98
10/17/2015 08:30,65.74
10/18/2015 08:30,70.9
10/19/2015 08:30,41.3
10/20/2015 08:30,46.93
10/21/2015 08:30,72.439995
10/22/2015 08:30,74.82
10/23/2015 08:30,72.549995
10/24/2015 08:30,22.33
10/25/2015 08:30,88.5
10/26/2015 08:30,40.95
10/27/2015 08:30,27.789999
10/28/2015 08:30,14.349999
10/29/2015 08:30,6.69
10/30/2015 08:30,9.08
10/31/2015 08:30,54.34
11/01/2015 08:30,73.61
11/02/2015 08:30,44.73
11/03/2015 08:30,42.16
11/04/2015 08:30,30.109999
11/05/2015 08:30,12.059999
11/06/2015 08:30,6.45
11/07/2015 08:30,16.33
11/08/2015 08:30,77.77
11/09/2015 08:30,81.56
11/10/2015 08:30,82.02
11/11/2015 08:30,54.039997
11/12/2015 08:30,56.76
11/13/2015 08:30,55.1
11/14/2015 08:30,62.09
11/15/2015 08:30,74.549995
11/16/2015 08:30,61.02
11/17/2015 08:30,66.13
11/18/2015 08:30,56.51
11/19/2015 08:30,65.31
11/20/2015 08:30,64.11
11/21/2015 08:30,73.83
11/22/2015 08:30,62.35
11/23/2015 08:30,76.13
11/24/2015 08:30,67.67
11/25/2015 08:30,66.479996
11/26/2015 08:30,56.55
11/27/2015 08:30,66.86999499999999
11/28/2015 08:30,70.229996
11/29/2015 08:30,61.92
11/30/2015 08:30,65.25
12/01/2015 08:30,66.34
12/02/2015 08:30,69.38
12/03/2015 08:30,69.86999499999999
12/04/2015 08:30,68.68
12/05/2015 08:30,75.38
12/06/2015 08:30,61.34
12/07/2015 08:30,64.93
12/08/2015 08:30,65.39
12/09/2015 08:30,67.25
12/10/2015 08:30,66.15999599999999
12/11/2015 08:30,61.059998
12/12/2015 08:30,61.52
12/13/2015 08:30,83.38
12/14/2015 08:30,88.61
12/15/2015 08:30,73.11999499999997
12/16/2015 08:30,80.86999499999997
12/17/2015 08:30,83.299995
12/18/2015 08:30,72.1
12/19/2015 08:30,70.04
12/20/2015 08:30,59.35
12/21/2015 08:30,66.67
12/22/2015 08:30,60.57
12/23/2015 08:30,81.21
12/24/2015 08:30,76.93
12/25/2015 08:30,76.42
12/26/2015 08:30,61.05
12/27/2015 08:30,90.65
12/28/2015 08:30,92.64
12/29/2015 08:30,79.53
12/30/2015 08:30,75.72
12/31/2015 08:30,71.83
01/01/2016 08:30,72.49
01/02/2016 08:30,73.28
01/03/2016 08:30,66.549995
01/04/2016 08:30,87.36999499999997
01/05/2016 08:30,85.1
01/06/2016 08:30,100.0
01/07/2016 08:30,100.0
01/08/2016 08:30,91.04
01/09/2016 08:30,85.33
01/10/2016 08:30,75.65999599999998
01/11/2016 08:30,95.869995
01/12/2016 08:30,92.71
01/13/2016 08:30,94.689995
01/14/2016 08:30,87.61
01/15/2016 08:30,74.06
01/16/2016 08:30,77.63
01/17/2016 08:30,86.96
01/18/2016 08:30,92.6
01/19/2016 08:30,99.42
01/20/2016 08:30,98.52
01/21/2016 08:30,100.0
01/22/2016 08:30,100.0
01/23/2016 08:30,97.619995
01/24/2016 08:30,81.07
01/25/2016 08:30,84.86
01/26/2016 08:30,82.39
01/27/2016 08:30,84.4
01/28/2016 08:30,84.50999499999998
01/29/2016 08:30,92.17
01/30/2016 08:30,73.5
01/31/2016 08:30,75.88
02/01/2016 08:30,75.9
02/02/2016 08:30,76.33
02/03/2016 08:30,80.40999599999998
02/04/2016 08:30,85.61999499999997
02/05/2016 08:30,83.43
02/06/2016 08:30,90.85
02/07/2016 08:30,79.0
02/08/2016 08:30,80.54
02/09/2016 08:30,71.979996
02/10/2016 08:30,74.72
02/11/2016 08:30,64.56
02/12/2016 08:30,76.45
02/13/2016 08:30,72.21
02/14/2016 08:30,82.11
02/15/2016 08:30,82.799995
02/16/2016 08:30,88.49
02/17/2016 08:30,82.33
02/18/2016 08:30,79.36
02/19/2016 08:30,82.11
02/20/2016 08:30,81.14
02/21/2016 08:30,77.08
02/22/2016 08:30,74.08
02/23/2016 08:30,87.35
02/24/2016 08:30,82.92
02/25/2016 08:30,83.11
02/26/2016 08:30,84.58
02/27/2016 08:30,92.1
02/28/2016 08:30,99.009995
02/29/2016 08:30,93.25
03/01/2016 08:30,88.42
03/02/2016 08:30,77.28
03/03/2016 08:30,80.56
03/04/2016 08:30,88.08
03/05/2016 08:30,80.979996
