location,lat,lon,location_veg_class,product,triplet,anomaly,n,snr,r,err_std,beta
876294,62.125,13.625,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,74,,,,
876294,62.125,13.625,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,74,,,,
876294,62.125,13.625,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,74,,,,
879189,62.625,17.375,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,31,,,0.01480710216844264,1.0
879189,62.625,17.375,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,31,,,-0.005171903983378147,-0.00042093841636243437
879189,62.625,17.375,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,31,,,0.012089301955417528,0.2746770009634935
874863,61.875,15.875,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,147,-6.688988609868778,1.084333052512318,0.0219639089596889,1.0
874863,61.875,15.875,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,147,2.0894725021458527,0.8223868607468956,0.007994412975451762,0.000977716564064738
874863,61.875,15.875,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,147,-4.222082341073154,1.1447088278998179,0.016533481792578162,0.34879211322867737
874865,61.875,16.375,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,57,-9.97625765783186,1.054231948738595,0.01844142076443197,1.0
874865,61.875,16.375,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,57,2.4761440314586203,0.8439934380967117,0.004397180491046788,0.0004800808307056241
874865,61.875,16.375,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,57,-8.772393237468508,1.0623843466388998,0.016054661598939732,0.35078852234402397
912324,68.375,21.125,Open Shrublands ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,331,,,,
912324,68.375,21.125,Open Shrublands ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,331,,,,
912324,68.375,21.125,Open Shrublands ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,331,,,,
910892,68.125,23.125,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,452,-3.0426899223887562,1.2204714508115992,0.0271854397095167,1.0
910892,68.125,23.125,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,452,-4.739606035001459,1.125792097776064,0.03305081456458424,0.0036973465332826696
910892,68.125,23.125,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,452,6.846471419796409,0.9341060849746547,0.008707195482138011,0.6407076811212302
909444,67.875,21.125,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,373,,,,
909444,67.875,21.125,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,373,,,,
909444,67.875,21.125,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,373,,,,
909452,67.875,23.125,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,459,-1.5923465882490238,1.6395733672947757,0.02251653958335691,1.0
909452,67.875,23.125,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,459,-3.6720285699915514,1.172283027010222,0.028607884687996157,0.0030667205497877017
909452,67.875,23.125,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,459,2.8798692485753787,0.8615447496684855,0.013455221627885849,0.7754806526219103
906570,67.375,22.625,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,467,,,,
906570,67.375,22.625,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,467,,,,
906570,67.375,22.625,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,467,,,,
903693,66.875,23.375,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,537,1.8367192078758787,0.8046614753727949,0.01876538478751181,1.0
903693,66.875,23.375,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,537,-5.500827726875613,1.1055231134346164,0.04367519179952985,0.004502763767913936
903693,66.875,23.375,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,537,1.0329700513056117,0.7128175351498325,0.020584718482953183,1.1647432069887242
900799,66.375,19.875,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,356,-3.3993049899533343,1.1902887729812788,0.02321864181945029,1.0
