network,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
HOBE,ERA5 0-1,M06,absolute,0.3972277978164525,0.0,-0.02168989608869812,0.08728037353093411,0.08454236814379441,32030,True
HOBE,ERA5 0-1,M07,absolute,0.4975944296825989,0.0,-0.032284159061932605,0.09035192517159248,0.08438722329758742,30404,True
HOBE,ERA5 0-1,M08,absolute,0.2948255493775857,0.0,-0.048587096642207145,0.10240319635079224,0.09014271275449684,22309,True
HOBE,ERA5 0-1,M09,absolute,0.2478781997047171,1.9913184047293865e-237,-0.03535112413405561,0.11498028189724248,0.10941098321296604,17075,True
HOBE,ERA5 0-1,M10,absolute,0.3010844916982192,0.0,-0.02314135067285583,0.09791733821072253,0.0951434864365866,23051,True
HOBE,ERA5 0-1,M11,absolute,0.2902961489325736,0.0,-0.027211910175954118,0.10020812769835072,0.09644262958559753,28246,True
HOBE,ERA5 0-1,M12,absolute,0.21469749235337066,4e-323,-0.023902185765593054,0.10136657102704197,0.09850820898487307,31296,True
HOBE,ERA5 0-1,Y2015-M01,absolute,,,,,,0,
HOBE,ERA5 0-1,Y2016-M01,absolute,0.16394459113417792,3.407871262097826e-48,-0.049463780272657465,0.18779389779271669,0.18116258578779332,7812,True
HOBE,ERA5 0-1,Y2017-M01,absolute,0.12031156936460133,2.0259328982785023e-25,-0.024516202802094492,0.1158413401497574,0.11321736566383432,7448,True
HOBE,ERA5 0-1,Y2018-M01,absolute,0.18542006884711368,2.054502130328117e-70,-0.008173145105579038,0.12356738664642035,0.12329679128715833,8998,True
HOBE,ERA5 0-1,Y2015-M02,absolute,,,,,,0,
HOBE,ERA5 0-1,Y2016-M02,absolute,0.14735712718692345,2.3255821006456463e-35,-0.023120665889981462,0.1652800211555042,0.1636548813875338,7017,True
HOBE,ERA5 0-1,Y2017-M02,absolute,0.2152157251018618,3.1172319751543944e-70,-0.016900378001812374,0.1113447935026238,0.11005471486282532,6621,True
HOBE,ERA5 0-1,Y2018-M02,absolute,0.29550934910471616,5.042531346078246e-161,-0.03407005920664671,0.12204572372803014,0.11719381274604156,8004,True
HOBE,ERA5 0-1,Y2015-M03,absolute,,,,,,0,
HOBE,ERA5 0-1,Y2016-M03,absolute,-0.02587430615092029,0.07213905738152852,0.027622397965224588,0.13372937793922654,0.13084551828268046,4831,False
HOBE,ERA5 0-1,Y2017-M03,absolute,0.10278253280575067,1.0838512552226544e-12,-0.0001804594010471061,0.13380788535106358,0.13380776366312958,4775,True
HOBE,ERA5 0-1,Y2018-M03,absolute,0.2693359561194567,7.194946201774264e-96,-0.04476449490408094,0.11856715653913613,0.1097921245160987,5734,True
HOBE,ERA5 0-1,Y2015-M04,absolute,0.1741684646166535,1.6907437631201422e-44,-0.012363283421383596,0.1094322039853713,0.10873158001306917,6360,True
HOBE,ERA5 0-1,Y2016-M04,absolute,0.10184309024726143,3.706267104887468e-13,0.020132017645084817,0.1332707281574906,0.13174137106150732,5066,True
HOBE,ERA5 0-1,Y2017-M04,absolute,0.06456767761199722,8.634999834229643e-06,0.004009912649788977,0.12938588695444825,0.12932373464886607,4740,True
HOBE,ERA5 0-1,Y2018-M04,absolute,0.27745346600233983,1.2420328660157746e-77,-0.02615797631990796,0.0824063640722576,0.0781445398889558,4345,True
HOBE,ERA5 0-1,Y2015-M05,absolute,0.10442140200222944,1.1403305768527605e-22,-0.03313606910273978,0.1077834505759716,0.10256350784992374,8760,True
HOBE,ERA5 0-1,Y2016-M05,absolute,0.197504348021688,5.520601061579472e-63,0.025749740530687487,0.11761818571297772,0.11476492701611755,7055,True
HOBE,ERA5 0-1,Y2017-M05,absolute,0.12263586810120886,6.659671703670246e-22,-0.004605344814996748,0.10654537860227804,0.10644580076563732,6108,True
HOBE,ERA5 0-1,Y2018-M05,absolute,0.31950366797957663,1.304851831507341e-120,-0.025627074897572544,0.07982400685991449,0.07559844643486985,5067,True
HOBE,ERA5 0-1,Y2015-M06,absolute,0.18233086061507556,8.660808364690665e-70,-0.023925180303490168,0.09639473198535413,0.0933784241780388,9226,True
HOBE,ERA5 0-1,Y2016-M06,absolute,0.2482870680449052,2.2842209841323326e-118,-0.016071622565806687,0.09471190875141483,0.09333835549996897,8411,True
HOBE,ERA5 0-1,Y2017-M06,absolute,0.2578269580523781,3.3350471130738714e-104,-0.03450940517998244,0.09093886571995577,0.08413666413969564,6834,True
HOBE,ERA5 0-1,Y2018-M06,absolute,0.21551702549535035,3.815499429596153e-80,-0.013623226066940079,0.058993154931795175,0.057398606606222015,7559,True
HOBE,ERA5 0-1,Y2015-M07,absolute,0.18119746686400992,7.602920751736662e-69,-0.05038390588126762,0.10088583537101896,0.08740374023264624,9214,True
HOBE,ERA5 0-1,Y2016-M07,absolute,0.11018912971341248,1.105373821991648e-24,-0.047753690925237964,0.1054413838764026,0.09400782114690104,8614,True
HOBE,ERA5 0-1,Y2017-M07,absolute,0.18217390784224932,1.5538279082542344e-44,-0.043015280815834785,0.08619691511877606,0.0746966785896693,5810,True
HOBE,ERA5 0-1,Y2018-M07,absolute,0.2282790049162949,1.048417297754921e-80,0.021273841537245042,0.04784025137766084,0.04284989286014572,6766,True
HOBE,ERA5 0-1,Y2015-M08,absolute,0.15375963472236906,8.454528711082429e-37,-0.07067589436699437,0.1112208253171474,0.08587776161296287,6714,True
HOBE,ERA5 0-1,Y2016-M08,absolute,0.1052399100921905,7.862781176705264e-15,-0.0377793729245805,0.11032656544236127,0.10365650015186263,5423,True
HOBE,ERA5 0-1,Y2017-M08,absolute,0.08810609600260398,4.3673181965471657e-11,-0.04082878683880223,0.1051551241110338,0.09690516132837597,5577,True
HOBE,ERA5 0-1,Y2018-M08,absolute,0.4979461099080763,1.4912365460335974e-286,-0.038483547473558234,0.07107450474792015,0.059754512792026974,4595,True
HOBE,ERA5 0-1,Y2015-M09,absolute,0.07587357850699095,7.763120989217602e-08,-0.05426134656537393,0.12427311895761185,0.11180122702531103,5002,True
HOBE,ERA5 0-1,Y2016-M09,absolute,0.1252570938903051,9.749473480772826e-16,-0.009494786673774512,0.10611654110960857,0.10569091409902157,4080,True
HOBE,ERA5 0-1,Y2017-M09,absolute,0.2268208730899077,1.1455496806116708e-60,-0.018160747147047324,0.1231516479471916,0.12180523656711165,5114,True
HOBE,ERA5 0-1,Y2018-M09,absolute,0.21193680145456614,1.3554499255473706e-30,-0.06967433085446338,0.09315804193421556,0.06183775866733724,2879,True
HOBE,ERA5 0-1,Y2015-M10,absolute,0.1062836631144942,5.121857866808538e-16,-0.012679175531951664,0.09238021227052293,0.09150596771236744,5790,True
HOBE,ERA5 0-1,Y2016-M10,absolute,0.13379948355063112,9.010612734573843e-26,-0.03328350179314865,0.09940260448295572,0.09366475477136743,6101,True
HOBE,ERA5 0-1,Y2017-M10,absolute,0.1411292778079324,1.1189071561667097e-37,-0.011340492397360735,0.10602649331435303,0.1054182646258415,8184,True
HOBE,ERA5 0-1,Y2018-M10,absolute,0.12850903672732433,1.967507361321423e-12,-0.0551564562533603,0.08055462302775666,0.05870956161235701,2976,True
HOBE,ERA5 0-1,Y2015-M11,absolute,0.1936424052379458,3.813370773783167e-61,-0.020946246434587312,0.10881491777348516,0.10677987212181833,7124,True
HOBE,ERA5 0-1,Y2016-M11,absolute,0.1708198805167208,5.567484953369356e-46,-0.030902200181154138,0.10927176675474584,0.10481113029477096,6845,True
HOBE,ERA5 0-1,Y2017-M11,absolute,0.15055103342122467,6.767685154100796e-45,-0.005268492200834861,0.09721830303179,0.09707544197329562,8624,True
HOBE,ERA5 0-1,Y2018-M11,absolute,0.22347372113123826,6.457680977371133e-65,-0.06411560556341764,0.07984992259040817,0.047594109519250666,5653,True
HOBE,ERA5 0-1,Y2015-M12,absolute,0.10242605692023717,1.455344490429294e-19,-0.006321072396651639,0.10939871980479296,0.10921595093521774,7765,True
HOBE,ERA5 0-1,Y2016-M12,absolute,0.11287236343907907,2.6350905955689838e-23,-0.020619565272774396,0.10742132801414657,0.10542378877788766,7717,True
HOBE,ERA5 0-1,Y2017-M12,absolute,0.12288818072282492,5.102709926730855e-32,-0.010167236466330332,0.1042064419208073,0.10370925629099992,9118,True
HOBE,ERA5 0-1,Y2018-M12,absolute,0.2533530641913926,1.4224627364103061e-98,-0.0667762292786738,0.07784684977684682,0.04001333806996035,6696,True
HOBE,ERA5 0-1,No-Timefilter,anomaly,0.2053130027604112,0.0,,,,94326,True
HOBE,ERA5 0-1,Y2015,anomaly,0.2255125057988032,1.478748414826409e-226,,,,19786,True
HOBE,ERA5 0-1,Y2016,anomaly,0.17891859521260278,3.449911365498789e-188,,,,26315,True
HOBE,ERA5 0-1,Y2017,anomaly,0.23699515313403455,0.0,,,,25777,True
HOBE,ERA5 0-1,Y2018,anomaly,0.1990859719501199,2.0350929221832958e-199,,,,22448,True
HOBE,ERA5 0-1,winter,anomaly,0.2511023778116695,1.4563579125518366e-294,,,,20662,True
HOBE,ERA5 0-1,spring,anomaly,0.12341884546491592,1.3467161418998982e-80,,,,23552,True
HOBE,ERA5 0-1,summer,anomaly,0.3417642415735984,0.0,,,,25514,True
HOBE,ERA5 0-1,fall,anomaly,0.2278866511383492,3.301055287145648e-287,,,,24598,True
HOBE,ERA5 0-1,Y2015-winter,anomaly,0.18402368855459014,1.8827241750746573e-18,,,,2232,True
HOBE,ERA5 0-1,Y2016-winter,anomaly,0.2373875506327614,1.434413632755033e-84,,,,6549,True
HOBE,ERA5 0-1,Y2017-winter,anomaly,0.2777382933433894,4.796771315761801e-111,,,,6248,True
HOBE,ERA5 0-1,Y2018-winter,anomaly,0.3344817567607954,2.66850352661654e-147,,,,5633,True
HOBE,ERA5 0-1,Y2015-spring,anomaly,0.18204474730879489,4.986950460822768e-34,,,,4391,True
HOBE,ERA5 0-1,Y2016-spring,anomaly,0.060711336795975165,7.651452634767058e-07,,,,6622,True
HOBE,ERA5 0-1,Y2017-spring,anomaly,0.2445805493244453,2.9384262584347045e-90,,,,6582,True
